Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.65625,9.65625,9.0,9.0,6.2468695640563965,134000
2000-01-04,8.875,9.28125,8.875,9.0,6.2468695640563965,68200
2000-01-05,9.0,9.25,9.0,9.15625,6.3553266525268555,70000
2000-01-06,9.09375,9.5,9.03125,9.46875,6.572226524353027,78600
2000-01-07,9.4375,9.46875,9.25,9.3125,6.463775157928467,71800
2000-01-10,9.34375,9.34375,9.1875,9.28125,6.442084789276123,67000
2000-01-11,9.3125,9.34375,9.25,9.25,6.4203948974609375,68200
2000-01-12,9.25,9.3125,9.21875,9.3125,6.463775157928467,93000
2000-01-13,9.3125,9.5,9.25,9.4375,6.550538063049316,94400
2000-01-14,9.5,9.5,9.25,9.25,6.4203948974609375,118000
2000-01-18,9.1875,9.1875,8.9375,9.0625,6.290250301361084,74000
2000-01-19,9.0625,9.21875,9.0,9.09375,6.311939239501953,106000
2000-01-20,9.125,9.3125,8.875,8.96875,6.2251811027526855,77400
2000-01-21,9.03125,9.1875,8.875,9.09375,6.311939239501953,111200
2000-01-24,9.28125,9.28125,8.9375,8.9375,6.203487873077393,120400
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.943202495574951,67200
2000-01-26,8.59375,8.875,8.5625,8.875,6.16010856628418,91200
2000-01-27,8.9375,9.09375,8.9375,9.03125,6.268560886383057,83000
2000-01-28,9.03125,9.15625,8.75,8.8125,6.116725444793701,90800
2000-01-31,8.84375,9.1875,8.84375,9.03125,6.268560886383057,114600
2000-02-01,9.0,9.0,8.65625,8.78125,6.095033645629883,59000
2000-02-02,8.71875,8.9375,8.65625,8.8125,6.116725444793701,122200
2000-02-03,8.8125,8.875,8.6875,8.8125,6.116725444793701,61600
2000-02-04,8.78125,8.78125,8.5625,8.6875,6.029963493347168,101400
2000-02-07,8.5625,8.6875,8.5,8.6875,6.029963493347168,62200
2000-02-08,8.78125,8.84375,8.5,8.5625,5.943202495574951,70800
2000-02-09,8.625,8.8125,8.3125,8.4375,5.856440544128418,98800
2000-02-10,8.40625,8.5,8.21875,8.4375,5.856440544128418,522200
2000-02-11,8.4375,8.53125,7.96875,8.0,5.552774429321289,135000
2000-02-14,7.96875,8.25,7.90625,8.21875,5.704608917236328,56200
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.856440544128418,76200
2000-02-16,8.4375,8.53125,8.125,8.125,5.639533996582031,86000
2000-02-17,8.21875,8.46875,8.1875,8.25,5.726299285888672,82400
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.531084060668945,60400
2000-02-22,7.96875,8.0,7.8125,7.96875,5.531084060668945,123800
2000-02-23,8.03125,8.09375,7.6875,7.875,5.466012477874756,95600
2000-02-24,7.875,7.9375,7.65625,7.6875,5.335869789123535,41400
2000-02-25,7.71875,7.75,7.625,7.65625,5.314176082611084,63600
2000-02-28,7.625,7.78125,7.5,7.65625,5.314176082611084,110800
2000-02-29,7.65625,8.09375,7.53125,7.53125,5.227415084838867,194800
2000-03-01,7.5,7.53125,7.28125,7.28125,5.053891658782959,123200
2000-03-02,7.28125,7.5,7.28125,7.46875,5.184031963348389,156600
2000-03-03,7.4375,7.5625,7.4375,7.5,5.205725193023682,65000
2000-03-06,7.5,8.0,7.5,7.78125,5.40093994140625,179000
2000-03-07,7.84375,7.953125,7.5,7.5,5.205725193023682,222600
2000-03-08,7.875,7.96875,7.875,7.875,5.466012477874756,152400
2000-03-09,7.78125,7.90625,7.6875,7.71875,5.3575592041015625,161200
2000-03-10,7.6875,8.078125,7.59375,8.0,5.552774429321289,167600
2000-03-13,7.8125,8.0,7.65625,7.84375,5.48200798034668,85600
2000-03-14,7.90625,7.9375,7.84375,7.90625,5.525691986083984,139200
2000-03-15,7.90625,8.65625,7.84375,8.625,6.028024196624756,141200
2000-03-16,8.65625,9.28125,8.65625,9.28125,6.486678600311279,368600
2000-03-17,9.125,9.5,9.125,9.46875,6.6177215576171875,267800
2000-03-20,9.46875,9.8125,9.46875,9.8125,6.857971668243408,275800
2000-03-21,9.75,9.875,9.59375,9.875,6.901654243469238,353400
2000-03-22,9.875,10.0,9.40625,9.40625,6.574041366577148,338000
2000-03-23,9.3125,9.40625,9.0,9.34375,6.530360698699951,399200
2000-03-24,9.25,9.5,9.0,9.4375,6.595885753631592,61600
2000-03-27,9.375,9.5,9.09375,9.4375,6.595885753631592,67800
2000-03-28,9.375,9.40625,8.8125,9.15625,6.399319171905518,63800
2000-03-29,9.09375,9.09375,8.90625,8.96875,6.2682719230651855,134400
2000-03-30,9.03125,9.5625,9.03125,9.5625,6.683244705200195,83800
2000-03-31,9.65625,10.5625,9.5,10.375,7.251101016998291,418200
2000-04-03,10.1875,10.1875,10.0,10.0,6.989016056060791,172000
2000-04-04,10.0,10.1875,9.75,10.125,7.076378345489502,154400
2000-04-05,10.15625,10.15625,9.65625,9.78125,6.836133003234863,86200
2000-04-06,9.84375,10.0,9.8125,9.9375,6.94533109664917,99400
2000-04-07,9.9375,10.21875,9.9375,10.15625,7.098217964172363,40200
2000-04-10,10.09375,10.1875,9.90625,9.90625,6.923491954803467,71400
2000-04-11,9.90625,10.1875,9.84375,10.0,6.989016056060791,375200
2000-04-12,10.0625,10.125,9.96875,9.96875,6.967175006866455,295600
2000-04-13,9.96875,10.0,9.65625,9.96875,6.967175006866455,219400
2000-04-14,10.0,10.125,9.90625,9.9375,6.94533109664917,218800
2000-04-17,9.90625,9.90625,9.65625,9.75,6.814286231994629,81200
2000-04-18,9.75,9.75,9.375,9.46875,6.6177215576171875,173800
2000-04-19,9.53125,9.78125,9.53125,9.75,6.814286231994629,159000
2000-04-20,9.71875,10.0,9.6875,9.96875,6.967175006866455,502200
2000-04-24,9.875,10.3125,9.875,10.28125,7.185582160949707,157200
2000-04-25,10.46875,11.0,10.34375,10.5625,7.3821492195129395,344200
2000-04-26,10.5625,10.625,10.0,10.15625,7.098217964172363,147200
2000-04-27,10.15625,10.8125,10.09375,10.5,7.338466167449951,178400
2000-04-28,10.4375,10.46875,10.125,10.46875,7.316628932952881,65600
2000-05-01,10.40625,10.75,10.40625,10.59375,7.403988361358643,260200
2000-05-02,10.625,10.75,10.5625,10.65625,7.4476728439331055,71400
2000-05-03,10.71875,11.125,10.71875,11.09375,7.753439426422119,355200
