Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.8125,31.8125,31.25,31.25,14.226459503173828,48500
2000-01-04,31.125,31.125,30.5,30.5625,13.91347599029541,25200
2000-01-05,30.5,30.5625,30.0,30.0,13.65739917755127,12900
2000-01-06,29.875,29.875,29.375,29.4375,13.401326179504395,20300
2000-01-07,29.375,30.0,29.375,30.0,13.65739917755127,18700
2000-01-10,30.125,30.5,30.0,30.375,13.828120231628418,19600
2000-01-11,30.4375,30.4375,30.25,30.4375,13.856565475463867,18500
2000-01-12,30.375,30.375,29.8125,30.0,13.65739917755127,43900
2000-01-13,30.0,30.125,29.5,30.125,13.714306831359863,10500
2000-01-14,30.25,30.375,30.125,30.3125,13.799660682678223,4500
2000-01-18,30.3125,30.375,30.0,30.375,13.828120231628418,101800
2000-01-19,30.625,30.625,30.1875,30.25,13.77121353149414,26800
2000-01-20,30.125,30.375,30.125,30.25,13.77121353149414,14300
2000-01-21,30.125,30.1875,30.0625,30.125,13.714306831359863,7600
2000-01-24,30.1875,30.25,30.0,30.0,13.65739917755127,18600
2000-01-25,30.0,30.0,29.875,29.9375,13.628947257995605,11600
2000-01-26,29.875,30.25,29.625,29.6875,13.515134811401367,33700
2000-01-27,29.75,30.1875,29.5625,30.0625,13.68585205078125,22400
2000-01-28,30.125,30.1875,29.5,29.5625,13.458229064941406,7900
2000-01-31,29.625,29.6875,29.5,29.5,13.429781913757324,14300
2000-02-01,29.5625,29.75,29.5625,29.75,13.543584823608398,6600
2000-02-02,29.8125,29.9375,29.75,29.8125,13.572042465209961,8100
2000-02-03,29.875,29.875,29.5,29.5,13.429781913757324,33100
2000-02-04,29.6875,29.6875,29.5,29.5625,13.458229064941406,3600
2000-02-07,29.5625,29.5625,29.4375,29.4375,13.401326179504395,67000
2000-02-08,29.4375,29.4375,29.125,29.1875,13.287510871887207,7300
2000-02-09,29.0,29.125,29.0,29.125,13.25905990600586,26600
2000-02-10,29.1875,29.375,29.1875,29.25,13.315959930419922,6600
2000-02-11,29.1875,29.4375,29.0,29.125,13.25905990600586,28300
2000-02-14,29.25,29.625,29.1875,29.625,13.48668098449707,9300
2000-02-15,29.75,29.875,29.625,29.6875,13.515134811401367,34300
2000-02-16,29.3125,29.375,29.0,29.1875,13.287510871887207,165300
2000-02-17,29.1875,29.5,29.125,29.3125,13.344414710998535,38900
2000-02-18,29.875,30.1875,29.6875,29.8125,13.572042465209961,59500
2000-02-22,29.8125,29.8125,29.5,29.75,13.543584823608398,33100
2000-02-23,29.6875,29.875,29.4375,29.875,13.600493431091309,25400
2000-02-24,29.875,29.875,29.4375,29.5,13.429781913757324,26800
2000-02-25,29.6875,29.75,29.3125,29.375,13.372871398925781,13600
2000-02-28,29.375,29.875,29.375,29.75,13.543584823608398,37100
2000-02-29,30.25,30.625,30.1875,30.5625,13.91347599029541,113700
2000-03-01,30.4375,30.6875,30.0,30.625,13.94192123413086,52200
2000-03-02,30.375,30.375,29.875,30.0,13.65739917755127,58000
2000-03-03,29.875,30.3125,29.875,30.1875,13.742755889892578,56300
2000-03-06,30.1875,30.1875,29.875,30.0625,13.68585205078125,13300
2000-03-07,30.0625,30.0625,29.625,29.625,13.48668098449707,89700
2000-03-08,29.625,30.0625,29.625,30.0625,13.68585205078125,20800
2000-03-09,30.0,30.4375,30.0,30.375,13.828120231628418,15400
2000-03-10,30.25,30.25,29.875,30.125,13.714306831359863,26600
2000-03-13,30.1875,30.25,30.0625,30.1875,13.742755889892578,86500
2000-03-14,30.25,30.8125,30.25,30.625,13.94192123413086,37800
