Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,417.1875,417.1875,390.0,397.5,231.71212768554688,1681920
2000-01-04,390.0,391.40625,373.125,373.125,217.5032958984375,2403280
2000-01-05,381.5625,390.0,371.25,388.125,226.24717712402344,1742547
2000-01-06,384.84375,410.15625,384.375,406.875,237.1769256591797,1863280
2000-01-07,405.0,412.03125,396.09375,405.0,236.0839385986328,1394587
2000-01-10,412.03125,412.03125,401.71875,403.59375,235.26429748535156,850320
2000-01-11,400.3125,407.8125,396.5625,398.4375,232.2586212158203,996653
2000-01-12,401.71875,412.5,400.78125,412.5,240.4559783935547,1145773
2000-01-13,412.5,420.46875,410.15625,417.1875,243.18841552734375,1237987
2000-01-14,423.75,439.21875,423.28125,435.0,253.5717315673828,2225493
2000-01-18,435.46875,442.03125,428.90625,438.75,255.75770568847656,1571720
2000-01-19,435.0,450.9375,434.0625,448.125,261.22259521484375,1955293
2000-01-20,449.0625,450.46875,428.90625,439.5703125,256.2358703613281,1358293
2000-01-21,436.40625,438.75,419.0625,423.28125,246.74058532714844,1547960
2000-01-24,427.5,427.5,409.6875,413.90625,241.2757568359375,1143213
2000-01-25,426.09375,431.25,413.4375,419.0625,244.28146362304688,1541867
2000-01-26,423.75,439.21875,422.34375,435.9375,254.1182403564453,1334387
2000-01-27,439.6875,446.25,433.125,442.5,257.9435729980469,1449120
2000-01-28,431.25,438.75,420.0,420.9375,245.3743438720703,1207120
2000-01-31,424.6875,434.53125,421.875,427.5,249.1997528076172,1360480
2000-02-01,431.71875,438.75,430.78125,436.875,254.6646728515625,1197400
2000-02-02,437.34375,439.6875,427.5,433.125,252.47886657714844,1318920
2000-02-03,433.59375,435.0,412.5,422.34375,246.8779754638672,1900267
2000-02-04,426.5625,433.125,406.40625,410.625,240.02786254882812,1466240
2000-02-07,414.84375,421.40625,406.40625,407.8125,238.38400268554688,1244160
2000-02-08,414.84375,421.40625,413.4375,420.0,245.5079803466797,1320587
2000-02-09,413.4375,418.125,404.53125,406.40625,237.56195068359375,1265280
2000-02-10,408.75,413.90625,397.5,402.65625,235.36988830566406,1124307
2000-02-11,406.40625,413.90625,396.5625,405.0,236.7399139404297,1326307
2000-02-14,406.875,409.21875,390.46875,405.0,236.7399139404297,1153773
2000-02-15,396.5625,412.03125,395.15625,411.5625,240.57601928710938,1403133
2000-02-16,405.9375,411.5625,397.96875,402.1875,235.09591674804688,910360
2000-02-17,406.875,410.625,391.40625,393.75,230.163818359375,1287480
2000-02-18,393.28125,395.15625,374.53125,385.78125,225.50567626953125,2039120
2000-02-22,385.3125,392.8125,375.0,382.5,223.58773803710938,1947453
2000-02-23,381.5625,387.65625,378.75,382.03125,223.3136444091797,1555347
2000-02-24,375.0,377.8125,360.0,369.375,215.91552734375,3156653
2000-02-25,370.3125,380.15625,353.4375,360.0,210.4354705810547,1884933
2000-02-28,371.25,379.6875,367.5,367.5,214.81959533691406,3225133
2000-02-29,378.75,390.9375,377.34375,388.125,226.87571716308594,2547773
2000-03-01,399.375,399.375,384.375,387.1875,226.3277130126953,1671987
2000-03-02,389.53125,390.0,375.0,386.25,225.77972412109375,1161320
2000-03-03,401.25,403.59375,396.5625,400.78125,234.27371215820312,1851347
2000-03-06,405.0,406.875,382.96875,391.40625,228.79364013671875,1241707
2000-03-07,396.09375,396.5625,377.8125,377.8125,220.84762573242188,1145400
2000-03-08,380.625,382.03125,368.90625,378.75,221.39561462402344,1180720
2000-03-09,367.96875,377.8125,363.75,377.8125,220.84762573242188,1507347
2000-03-10,373.59375,380.15625,365.625,367.5,214.81959533691406,1227107
2000-03-13,359.53125,374.53125,358.125,374.53125,218.92958068847656,1928827
2000-03-14,375.9375,377.8125,369.375,373.125,218.10760498046875,1192147
2000-03-15,369.84375,391.875,366.5625,391.875,229.0677032470703,2380000
2000-03-16,402.1875,427.5,395.625,420.9375,246.05612182617188,3432440
2000-03-17,424.21875,433.125,420.9375,427.5,249.89218139648438,1960440
2000-03-20,420.9375,430.78125,414.84375,421.40625,246.33006286621094,1368040
2000-03-21,422.34375,436.40625,417.1875,435.46875,254.55018615722656,2067453
2000-03-22,436.875,442.5,432.1875,440.625,257.5642395019531,1489867
2000-03-23,440.625,463.59375,435.9375,462.65625,270.44244384765625,2188560
2000-03-24,463.59375,467.8125,447.1875,454.21875,265.5103454589844,1836480
2000-03-27,454.21875,462.65625,437.34375,450.46875,263.31829833984375,1287347
2000-03-28,443.4375,464.0625,442.96875,457.5,267.42840576171875,1432693
2000-03-29,457.5,460.3125,446.25,455.625,266.3323974609375,1127707
2000-03-30,450.9375,457.5,440.15625,457.5,267.42840576171875,1165987
2000-03-31,450.46875,455.625,443.4375,449.0625,262.496337890625,1165853
2000-04-03,450.0,468.28125,449.0625,465.0,271.8125,1635680
2000-04-04,465.0,473.90625,420.0,442.5,258.6602783203125,2371267
2000-04-05,440.625,446.25,435.0,440.15625,257.29010009765625,1242960
2000-04-06,446.25,449.0625,441.09375,444.84375,260.0302429199219,850773
2000-04-07,448.125,450.0,441.09375,442.5,258.6602783203125,946347
2000-04-10,442.5,469.6875,441.5625,466.875,272.9085388183594,1570227
2000-04-11,465.9375,475.78125,460.3125,475.78125,278.1145324707031,1530827
2000-04-12,481.40625,490.78125,469.21875,472.5,276.1966247558594,2113693
2000-04-13,472.5,472.5,461.25,469.21875,274.2784423828125,1447773
2000-04-14,457.03125,457.03125,427.96875,435.0,254.27610778808594,2168360
2000-04-17,429.375,448.59375,425.625,444.375,259.7563781738281,1990613
2000-04-18,447.1875,472.5,444.84375,465.9375,272.360595703125,1495307
2000-04-19,465.46875,465.9375,431.71875,447.1875,261.4002990722656,2383360
2000-04-20,456.5625,459.375,448.125,459.375,268.5244140625,1038427
2000-04-24,454.6875,465.9375,453.75,463.59375,270.9903869628906,1076920
2000-04-25,467.34375,483.75,466.875,483.75,282.7726745605469,1270547
2000-04-26,475.78125,480.9375,465.0,468.75,274.0045166015625,1122773
2000-04-27,460.3125,464.53125,451.40625,461.25,270.3124084472656,1119120
2000-04-28,469.6875,470.15625,442.03125,442.5,259.3240966796875,1106813
2000-05-01,451.40625,465.0,442.96875,452.34375,265.0929870605469,895467
2000-05-02,452.8125,463.125,448.59375,458.4375,268.66424560546875,828907
2000-05-03,456.09375,469.6875,448.125,450.9375,264.2689208984375,1189093
2000-05-04,448.59375,452.8125,435.46875,439.6875,257.6759948730469,1250440
2000-05-05,434.53125,449.53125,434.53125,446.71875,261.7964782714844,800613
2000-05-08,444.84375,453.28125,442.5,448.125,262.62054443359375,973013
2000-05-09,452.8125,456.5625,441.5625,446.25,261.5218200683594,947107
2000-05-10,438.28125,443.90625,422.8125,423.28125,248.0611114501953,1285667
2000-05-11,432.65625,445.78125,427.5,441.5625,258.77459716796875,1112933
2000-05-12,441.5625,457.03125,437.34375,451.40625,264.5436096191406,1167787
2000-05-15,452.34375,472.96875,449.53125,471.5625,276.3559265136719,1219827
2000-05-16,473.90625,475.3125,459.375,462.65625,271.13653564453125,1153960
2000-05-17,462.1875,468.75,456.5625,457.96875,268.3894348144531,943093
2000-05-18,465.0,472.96875,460.3125,461.71875,270.5871887207031,1080640
2000-05-19,456.5625,460.3125,451.40625,457.03125,267.8401184082031,1020707
2000-05-22,460.3125,462.1875,446.71875,459.84375,269.48834228515625,855747
2000-05-23,457.5,474.375,457.5,467.34375,273.88372802734375,1079240
2000-05-24,464.0625,473.90625,452.34375,460.3125,269.76300048828125,1673520
2000-05-25,450.9375,457.5,435.9375,439.21875,257.4012451171875,1550400
2000-05-26,435.46875,440.15625,427.96875,436.875,256.02764892578125,1184347
2000-05-30,446.25,456.09375,444.375,452.34375,265.0929870605469,944813
2000-05-31,454.6875,466.40625,454.21875,466.40625,273.3340759277344,995707
2000-06-01,472.5,481.875,469.6875,474.84375,278.27886962890625,1467267
2000-06-02,493.125,501.5625,491.71875,499.6875,292.8384094238281,1509587
2000-06-05,493.59375,499.21875,492.1875,498.28125,292.0144348144531,1043333
2000-06-06,494.0625,494.53125,480.0,486.09375,284.8719787597656,895613
2000-06-07,490.3125,499.21875,484.6875,497.8125,291.7396545410156,970613
2000-06-08,496.40625,496.875,481.40625,483.75,283.4984436035156,946040
2000-06-09,487.03125,492.65625,478.125,480.0,281.30072021484375,858200
2000-06-12,483.28125,487.03125,478.125,480.0,281.30072021484375,688467
2000-06-13,484.6875,491.25,477.1875,489.84375,287.0694885253906,870480
2000-06-14,490.78125,507.1875,489.84375,503.4375,295.0361633300781,1204307
2000-06-15,503.90625,504.375,485.15625,486.5625,285.1468200683594,1337400
2000-06-16,486.5625,490.3125,463.59375,470.15625,275.5319519042969,1961267
2000-06-19,472.5,484.6875,471.09375,482.34375,282.67431640625,964533
2000-06-20,486.5625,488.4375,476.71875,482.8125,282.948974609375,847160
2000-06-21,475.3125,475.78125,468.75,468.75,274.707763671875,913320
