Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,45.53125,45.53125,43.96875,44.5,30.975513458251953,6057400
2000-01-04,44.46875,44.5625,41.96875,42.0625,29.27881622314453,5722800
2000-01-05,42.21875,42.9375,41.84375,42.78125,29.77913475036621,7726400
2000-01-06,43.3125,44.5625,43.25,43.640625,30.377334594726562,7221400
2000-01-07,43.4375,46.625,43.40625,46.53125,32.389442443847656,5164800
2000-01-10,46.53125,47.53125,45.90625,47.5,33.06376266479492,4454000
2000-01-11,47.125,47.5625,45.75,45.8125,31.889131546020508,2955000
2000-01-12,46.5625,47.25,44.9375,45.75,31.845617294311523,4687400
2000-01-13,46.28125,48.0625,45.4375,47.46875,33.04201126098633,5750800
2000-01-14,48.125,50.25,48.0,49.0625,34.1513786315918,4571000
2000-01-18,48.75,51.75,48.25,51.25,35.67405700683594,5932000
2000-01-19,51.9375,53.125,50.125,51.875,36.109100341796875,4130500
2000-01-20,52.375,53.125,50.0,50.0,34.803958892822266,5551900
2000-01-21,51.4375,51.5,48.0,48.5,33.75984573364258,3520200
2000-01-24,48.1875,51.25,46.5,47.0,32.715728759765625,5005500
2000-01-25,47.5625,49.75,45.75,49.6875,34.58643341064453,3730800
2000-01-26,49.125,52.0,48.6875,50.4375,35.108489990234375,3782800
2000-01-27,50.5625,51.375,46.5,48.9375,34.064353942871094,3109600
2000-01-28,48.625,49.75,45.875,46.0,32.01963806152344,2834600
2000-01-31,46.0625,49.5,45.0,48.9375,34.064353942871094,3249700
2000-02-01,49.3125,52.125,48.0,51.875,36.109100341796875,4530500
2000-02-02,52.0,54.0,51.0,53.9375,37.544769287109375,4945700
2000-02-03,54.0,55.0,53.25,54.1875,37.71876907348633,4640800
2000-02-04,54.75,55.1875,52.625,53.0,36.892189025878906,3273700
2000-02-07,52.0,52.25,51.0,51.25,35.67405700683594,2566700
2000-02-08,51.9375,53.75,51.75,53.0625,36.93569564819336,2440700
2000-02-09,52.0,53.0,51.4375,52.875,36.805179595947266,1466800
2000-02-10,52.8125,52.875,51.875,52.125,36.28313064575195,2761800
2000-02-11,52.125,52.3125,51.0,51.6875,35.97858428955078,2071000
2000-02-14,51.5625,51.625,50.0,50.75,35.32601547241211,1856300
2000-02-15,50.0625,50.5,48.5,49.375,34.368900299072266,2675400
2000-02-16,49.1875,49.3125,46.375,47.75,33.2377815246582,4231600
2000-02-17,48.0,48.0,43.5,44.0,30.627485275268555,6955400
