Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.703125,7.734375,7.4375,7.5,5.697239875793457,394800
2000-01-04,7.453125,7.515625,7.40625,7.484375,5.685369491577148,924400
2000-01-05,7.5,7.5,7.375,7.421875,5.637892246246338,624000
2000-01-06,7.390625,7.453125,7.28125,7.453125,5.6616315841674805,450400
2000-01-07,7.453125,7.765625,7.421875,7.75,5.887147426605225,1608400
2000-01-10,7.765625,8.109375,7.765625,7.890625,5.993971347808838,620800
2000-01-11,7.84375,7.96875,7.796875,7.875,5.9821014404296875,575600
2000-01-12,7.859375,7.859375,7.75,7.84375,5.958362579345703,676800
2000-01-13,7.890625,8.203125,7.890625,8.140625,6.183877944946289,700000
2000-01-14,8.15625,8.15625,7.78125,7.78125,5.910887241363525,244800
2000-01-18,7.75,7.9375,7.734375,7.921875,6.017709732055664,485200
2000-01-19,7.890625,8.0,7.875,7.875,5.9821014404296875,741600
2000-01-20,7.921875,7.9375,7.859375,7.921875,6.017709732055664,332000
2000-01-21,7.84375,7.953125,7.84375,7.921875,6.017709732055664,960000
2000-01-24,7.90625,7.96875,7.90625,7.9375,6.029577732086182,371200
2000-01-25,7.9375,8.078125,7.90625,8.015625,6.088925361633301,1643200
2000-01-26,8.015625,9.21875,8.015625,9.0,6.836687088012695,1582000
2000-01-27,9.015625,9.09375,8.25,8.25,6.266964435577393,1392000
2000-01-28,8.3125,8.609375,8.3125,8.40625,6.385656356811523,1078000
2000-01-31,8.453125,8.53125,8.453125,8.5,6.456872463226318,600000
2000-02-01,8.5,8.5,8.296875,8.375,6.3619184494018555,214000
2000-02-02,8.40625,8.53125,8.34375,8.390625,6.373786926269531,456000
2000-02-03,8.5,8.71875,8.484375,8.609375,6.539958953857422,496800
2000-02-04,8.625,8.90625,8.625,8.796875,6.682386875152588,462000
2000-02-07,8.765625,8.890625,8.765625,8.859375,6.729862213134766,767600
2000-02-08,8.859375,8.9375,8.859375,8.9375,6.789212226867676,434400
2000-02-09,9.0,9.140625,8.875,9.03125,6.8604278564453125,886400
2000-02-10,9.125,9.15625,9.046875,9.09375,6.907902717590332,394400
2000-02-11,9.109375,9.109375,8.828125,8.828125,6.706127166748047,336800
2000-02-14,8.78125,8.78125,8.609375,8.65625,6.575564384460449,214400
2000-02-15,8.6875,8.75,8.671875,8.71875,6.623040676116943,570000
2000-02-16,8.734375,8.8125,8.726563453674316,8.796875,6.682386875152588,1315200
2000-02-17,8.859375,9.0625,8.828125,8.828125,6.706127166748047,857600
2000-02-18,8.859375,8.859375,8.625,8.640625,6.563695907592773,187200
2000-02-22,8.640625,8.8125,8.59375,8.8125,6.694258213043213,204400
2000-02-23,8.796875,8.890625,8.796875,8.875,6.741735458374023,886400
2000-02-24,8.84375,8.96875,8.765625,8.765625,6.658649921417236,372400
2000-02-25,8.734375,8.828125,8.6875,8.75,6.6467766761779785,910400
2000-02-28,8.765625,8.765625,8.515625,8.53125,6.480607509613037,228000
2000-02-29,8.546875,8.578125,8.4375,8.578125,6.516218185424805,379200
2000-03-01,8.625,9.078125,8.59375,8.96875,6.812948703765869,441200
2000-03-02,9.03125,9.046875,8.90625,9.0,6.836687088012695,241600
2000-03-03,9.03125,9.21875,9.03125,9.21875,7.0028557777404785,952000
2000-03-06,9.625,10.09375,9.625,9.640625,7.323324203491211,976400
2000-03-07,9.78125,9.78125,9.015625,9.21875,7.0028557777404785,824400
2000-03-08,9.21875,9.4375,9.21875,9.296875,7.062203407287598,710000
2000-03-09,9.265625,9.40625,9.265625,9.390625,7.133421897888184,510000
2000-03-10,9.375,9.375,9.1875,9.203125,6.990983963012695,299200
2000-03-13,9.1875,9.21875,9.125,9.171875,6.967252254486084,196400
2000-03-14,9.15625,9.34375,8.9375,8.9375,6.789212226867676,780000
2000-03-15,8.9375,9.125,8.625,9.046875,6.872296333312988,286800
2000-03-16,9.109375,9.8125,9.109375,9.8125,7.4538893699646,277600
2000-03-17,9.8125,9.96875,9.8125,9.921875,7.536975860595703,438800
2000-03-20,9.890625,10.0,9.34375,9.5,7.2165045738220215,569200
2000-03-21,9.3125,9.3125,8.75,8.9375,6.789212226867676,433200
2000-03-22,8.921875,9.359375,8.921875,9.265625,7.038465976715088,634000
2000-03-23,9.265625,9.46875,9.1875,9.1875,6.979119777679443,814800
2000-03-24,9.15625,9.203125,8.9375,8.953125,6.801078796386719,252800
2000-03-27,9.0,9.0,8.859375,8.859375,6.729862213134766,233200
2000-03-28,8.96875,9.65625,8.90625,9.421875,7.1571574211120605,1261200
2000-03-29,9.421875,9.453125,9.125,9.25,7.0265984535217285,414400
2000-03-30,9.125,9.25,9.109375,9.234375,7.014726161956787,588000
2000-03-31,9.25,9.9375,9.21875,9.9375,7.548840522766113,600000
2000-04-03,10.0,10.3125,9.875,9.953125,7.560709476470947,454400
2000-04-04,9.9375,9.9375,9.25,9.59375,7.2877197265625,806800
2000-04-05,9.59375,10.0625,9.40625,10.03125,7.620054244995117,2128000
2000-04-06,10.03125,10.625,9.96875,10.359375,7.869314670562744,1136400
2000-04-07,10.359375,10.625,10.359375,10.5,7.976135730743408,1037600
2000-04-10,10.5,10.71875,10.3125,10.375,7.8811821937561035,339200
2000-04-11,10.375,10.5,10.3125,10.484375,7.964265823364258,389600
2000-04-12,10.4375,10.6875,10.421875,10.53125,7.999874591827393,1093200
2000-04-13,10.53125,10.75,10.53125,10.671875,8.10669994354248,688400
2000-04-14,10.875,11.3125,10.875,11.125,8.45090389251709,1940400
2000-04-17,11.140625,13.3125,11.140625,12.5625,9.542877197265625,2498400
2000-04-18,12.8125,14.171875,12.8125,14.0,10.634847640991211,3228800
2000-04-19,13.9375,14.234375,13.25,13.765625,10.45681095123291,2447200
2000-04-20,13.78125,13.84375,12.875,13.40625,10.183816909790039,1328400
2000-04-24,13.375,13.859375,13.28125,13.4375,10.207558631896973,1667600
2000-04-25,13.6875,14.375,13.6875,14.3125,10.872232437133789,2314400
2000-04-26,14.25,15.171875,14.09375,14.75,11.204571723937988,1814800
2000-04-27,14.75,14.90625,14.4375,14.75,11.204571723937988,1296000
2000-04-28,14.625,14.6875,13.9375,14.546875,11.050272941589355,1210800
2000-05-01,14.484375,14.9375,14.484375,14.765625,11.216439247131348,1070000
2000-05-02,14.75,15.1875,14.46875,14.5625,11.062142372131348,1793200
2000-05-03,14.5,14.5,14.03125,14.078125,10.694196701049805,934000
2000-05-04,14.1875,14.484375,14.0625,14.1875,10.777276992797852,1103200
2000-05-05,14.375,14.96875,14.375,14.90625,11.323263168334961,985600
2000-05-08,14.96875,15.15625,14.78125,14.84375,11.275784492492676,1136800
2000-05-09,14.8125,15.25,14.8125,15.0625,11.441960334777832,1092800
2000-05-10,15.078125,15.25,14.375,14.71875,11.180831909179688,1056400
2000-05-11,14.84375,15.78125,14.84375,15.515625,11.786166191101074,1078400
2000-05-12,15.71875,16.8125,15.71875,16.75,12.723836898803711,1780000
2000-05-15,16.875,17.5,16.40625,16.625,12.628881454467773,2397600
2000-05-16,17.1875,17.84375,16.75,17.4375,13.246081352233887,2192000
2000-05-17,17.1875,17.4375,16.9375,16.96875,12.890007019042969,925600
2000-05-18,16.875,17.0625,15.828125,16.234375,12.332148551940918,905600
2000-05-19,16.296875,16.34375,14.5625,15.40625,11.703079223632812,1313600
2000-05-22,15.625,15.90625,15.09375,15.265625,11.596258163452148,919600
2000-05-23,15.265625,15.3125,15.0625,15.171875,11.525041580200195,657600
2000-05-24,15.21875,17.03125,15.21875,16.96875,12.890007019042969,1874400
2000-05-25,17.5,17.875,16.8125,17.3125,13.151128768920898,1927600
2000-05-26,17.59375,18.1875,17.546875,17.71875,13.459724426269531,1596000
2000-05-30,17.71875,17.71875,16.9375,17.125,13.008698463439941,1669200
2000-05-31,17.0,17.09375,16.125,16.78125,12.747573852539062,1814000
2000-06-01,16.84375,17.4375,16.84375,17.1875,13.056171417236328,1468800
2000-06-02,17.28125,17.5,14.875,16.6875,12.676358222961426,3347200
2000-06-05,16.65625,16.65625,15.625,15.84375,12.035419464111328,1875200
2000-06-06,16.0625,16.125,15.25,15.453125,11.738687515258789,594400
2000-06-07,15.515625,15.75,14.6875,15.25,11.584391593933105,1014800
2000-06-08,15.25,15.5625,15.0,15.109375,11.477564811706543,401200
2000-06-09,15.21875,15.453125,14.765625,15.390625,11.691211700439453,677200
2000-06-12,15.125,15.25,13.5,14.9375,11.347003936767578,3091600
2000-06-13,15.0,15.625,15.0,15.25,11.584391593933105,1171600
2000-06-14,15.25,16.6875,14.296875,15.90625,12.082897186279297,2082400
2000-06-15,15.90625,16.34375,15.625,16.15625,12.272806167602539,1213200
2000-06-16,16.21875,16.4375,15.59375,16.15625,12.272806167602539,1484000
2000-06-19,16.09375,17.546875,16.09375,17.46875,13.269820213317871,1579600
2000-06-20,17.4375,18.625,17.28125,18.6171875,14.142213821411133,10860800
2000-06-21,18.5,18.625,18.28125,18.40625,13.98196792602539,3402400
2000-06-22,18.25,18.25,17.71875,17.78125,13.50720500946045,1338400
2000-06-23,17.78125,17.875,17.09375,17.5,13.293553352355957,1338000
2000-06-26,17.6875,17.8125,17.34375,17.71875,13.459724426269531,1208800
2000-06-27,18.1875,18.5,17.625,17.6875,13.435991287231445,1528800
2000-06-28,17.75,18.28125,17.703125,18.109375,13.75646686553955,1668000
