Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.625,16.8125,16.125,16.5,5.747350692749023,419600
2000-01-04,16.5625,17.125,16.25,17.0625,5.943278789520264,623100
2000-01-05,17.0,17.9375,17.0,17.9375,6.248062610626221,310400
2000-01-06,17.9375,17.9375,17.625,17.8125,6.204524040222168,283700
2000-01-07,17.875,17.9375,17.3125,17.625,6.139214038848877,225100
2000-01-10,17.625,17.875,17.0,17.3125,6.030361175537109,373200
2000-01-11,17.5625,17.5625,17.0625,17.4375,6.073904037475586,202200
2000-01-12,17.25,17.3125,17.0625,17.3125,6.030361175537109,222800
2000-01-13,17.25,17.4375,16.875,17.125,5.965049743652344,258700
2000-01-14,16.9375,16.9375,16.25,16.5625,5.7691168785095215,253700
2000-01-18,16.5625,16.5625,16.0,16.0625,5.594955921173096,278000
2000-01-19,16.0625,16.9375,16.0,16.75,5.834427356719971,221800
2000-01-20,16.625,16.6875,16.3125,16.375,5.7038092613220215,160700
2000-01-21,16.4375,16.6875,16.25,16.625,5.790890693664551,214100
2000-01-24,16.5,17.3125,16.5,16.5625,5.7691168785095215,197900
2000-01-25,16.5625,16.6875,16.0,16.125,5.616725444793701,267200
2000-01-26,16.0,16.1875,15.3125,15.3125,5.333713531494141,657500
2000-01-27,15.375,16.0,15.375,15.875,5.529644966125488,262900
2000-01-28,16.0,16.125,15.5,15.875,5.529644966125488,195200
2000-01-31,16.0,16.0625,15.875,16.0,5.573185443878174,140400
2000-02-01,15.9375,16.0,15.5,15.5625,5.420797348022461,138500
2000-02-02,15.5,15.8125,15.5,15.75,5.486105442047119,109700
2000-02-03,16.0625,17.1875,16.0625,16.625,5.790890693664551,463200
2000-02-04,16.75,16.875,16.0,16.5,5.747350692749023,190000
2000-02-07,16.5,16.875,16.5,16.625,5.790890693664551,239000
2000-02-08,16.5625,16.8125,16.5625,16.6875,5.812656402587891,234000
2000-02-09,16.5625,16.625,16.1875,16.625,5.790890693664551,205800
2000-02-10,16.4375,16.4375,16.0,16.0,5.573185443878174,259300
2000-02-11,16.0625,16.25,15.9375,16.0,5.573185443878174,171000
2000-02-14,16.1875,16.1875,15.75,15.8125,5.507876873016357,247800
2000-02-15,15.625,15.9375,15.625,15.75,5.486105442047119,208600
2000-02-16,15.8125,15.875,15.6875,15.75,5.486105442047119,161700
2000-02-17,15.6875,15.9375,15.625,15.8125,5.507876873016357,180900
2000-02-18,15.75,15.8125,15.625,15.8125,5.507876873016357,130900
2000-02-22,15.9375,16.125,15.8125,16.0,5.573185443878174,215900
2000-02-23,15.9375,16.0,15.75,15.8125,5.507876873016357,120500
2000-02-24,15.875,15.9375,15.5,15.5625,5.420797348022461,165800
2000-02-25,15.625,15.6875,15.375,15.5,5.399021625518799,175500
2000-02-28,15.625,15.8125,15.5,15.8125,5.507876873016357,112300
2000-02-29,15.8125,16.0,15.375,15.4375,5.377253532409668,195900
2000-03-01,15.5625,15.6875,15.375,15.5,5.399021625518799,301100
2000-03-02,15.5625,16.375,15.5625,16.375,5.7038092613220215,396700
2000-03-03,16.625,16.625,16.375,16.5,5.747350692749023,158000
2000-03-06,16.75,16.75,15.3125,16.125,5.616725444793701,1251100
2000-03-07,16.125,16.75,15.75,16.75,6.034646987915039,798800
2000-03-08,16.75,17.25,16.5,16.875,6.079681396484375,7778100
2000-03-09,17.125,17.125,16.8125,17.0,6.124717712402344,1269300
2000-03-10,17.0,17.5625,16.9375,17.25,6.214787483215332,294100
2000-03-13,17.0,17.1875,16.9375,17.125,6.169753551483154,205900
2000-03-14,16.9375,17.25,16.8125,16.875,6.079681396484375,130900
2000-03-15,16.8125,17.1875,16.8125,17.1875,6.192268371582031,217000
2000-03-16,17.125,17.5,17.0,17.375,6.259820938110352,603800
2000-03-17,17.25,17.3125,16.75,17.1875,6.192268371582031,276500
2000-03-20,17.125,17.3125,16.9375,17.0625,6.14723539352417,99900
2000-03-21,16.8125,17.0,16.75,16.875,6.079681396484375,89500
2000-03-22,16.6875,16.8125,16.3125,16.375,5.899544715881348,245300
2000-03-23,16.375,16.8125,16.3125,16.8125,6.057163715362549,170500
2000-03-24,16.75,16.875,16.375,16.75,6.034646987915039,120800
2000-03-27,17.0,17.0,16.375,16.8125,6.057163715362549,154200
2000-03-28,16.625,16.625,16.25,16.625,5.989616394042969,131100
2000-03-29,17.5,18.3125,16.625,16.75,6.034646987915039,591100
2000-03-30,16.875,16.9375,15.4375,15.75,5.674368858337402,652300
2000-03-31,15.75,15.9375,15.5625,15.8125,5.696888446807861,720500
2000-04-03,15.5,15.5625,14.8125,15.0,5.404165267944336,622300
2000-04-04,15.75,15.75,14.6875,15.375,5.539267063140869,580100
2000-04-05,14.875,15.5625,14.8125,15.375,5.539267063140869,272000
2000-04-06,15.3125,15.3125,14.9375,15.0625,5.426678657531738,152800
2000-04-07,15.125,15.25,14.8125,14.9375,5.3816447257995605,234300
2000-04-10,14.9375,15.25,14.875,15.0625,5.426678657531738,173900
2000-04-11,15.125,15.4375,15.125,15.375,5.539267063140869,202900
2000-04-12,15.4375,16.3125,15.4375,15.625,5.629337310791016,294900
2000-04-13,15.6875,15.9375,15.6875,15.6875,5.651854991912842,218800
2000-04-14,15.6875,15.6875,15.0,15.125,5.449199676513672,282700
2000-04-17,14.8125,15.9375,14.75,15.75,5.674368858337402,285200
2000-04-18,15.75,15.9375,15.375,15.9375,5.741922855377197,338000
2000-04-19,15.75,16.125,15.6875,15.9375,5.741922855377197,603200
2000-04-20,15.8125,15.9375,15.75,15.875,5.719407558441162,271700
2000-04-24,15.75,15.8125,15.375,15.5625,5.606818675994873,299300
2000-04-25,15.625,15.6875,15.4375,15.625,5.629337310791016,294800
2000-04-26,15.5625,16.0625,15.5625,16.0,5.764441967010498,318300
2000-04-27,15.8125,15.875,15.625,15.6875,5.651854991912842,147300
2000-04-28,15.75,15.75,15.4375,15.75,5.674368858337402,302200
2000-05-01,15.6875,15.9375,15.625,15.875,5.719407558441162,462700
2000-05-02,15.9375,15.9375,15.3125,15.625,5.629337310791016,296600
2000-05-03,15.625,15.625,15.4375,15.5,5.584301948547363,283100
2000-05-04,15.5,15.5625,15.5,15.5,5.584301948547363,164500
2000-05-05,15.5,15.625,15.0,15.0,5.404165267944336,258100
2000-05-08,15.0,15.5625,14.875,15.5,5.584301948547363,766900
2000-05-09,15.5,15.75,15.5,15.5625,5.606818675994873,602300
2000-05-10,15.625,16.125,15.5625,16.0,5.764441967010498,647700
2000-05-11,16.0,16.3125,15.9375,16.1875,5.831995487213135,444400
2000-05-12,16.0,16.0625,15.75,15.9375,5.741922855377197,262500
2000-05-15,15.8125,16.1875,15.625,15.9375,5.741922855377197,293300
2000-05-16,16.0,16.0625,15.875,15.875,5.719407558441162,287000
