Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.625,37.9375,35.0,35.5625,21.37360191345215,312300
2000-01-04,35.0,35.5,34.5625,35.125,21.110658645629883,318300
2000-01-05,34.875,35.75,34.5625,35.4375,21.298479080200195,255400
2000-01-06,35.125,37.125,35.0,36.25,21.78679656982422,212700
2000-01-07,36.5,37.625,36.375,37.3125,22.425382614135742,153000
2000-01-10,36.75,36.875,35.75,36.375,21.861928939819336,185400
2000-01-11,36.25,36.8125,35.8125,36.4375,21.899484634399414,140500
2000-01-12,36.6875,37.25,36.0,36.3125,21.82436752319336,183400
2000-01-13,36.25,37.5625,36.25,36.9375,22.199993133544922,209400
2000-01-14,36.375,37.25,36.0625,36.9375,22.199993133544922,406000
2000-01-18,36.0,36.75,35.75,36.4375,21.899484634399414,185100
2000-01-19,36.3125,37.0625,36.21875,36.6875,22.049741744995117,248300
2000-01-20,36.6875,37.0625,36.5625,36.8125,22.124868392944336,236200
2000-01-21,37.5,37.5,36.5625,36.625,22.01218032836914,246300
2000-01-24,36.375,36.5625,35.8125,35.8125,21.523860931396484,283600
2000-01-25,35.5625,36.1875,34.875,35.625,21.411163330078125,404600
2000-01-26,35.625,36.25,34.75,36.1875,21.74924659729004,245600
2000-01-27,35.75,36.375,35.375,36.0625,21.674108505249023,154900
2000-01-28,36.0625,36.1875,34.6875,35.875,21.561418533325195,425100
2000-01-31,35.875,36.125,35.5,35.6875,21.44873809814453,206000
2000-02-01,35.4375,35.625,35.0,35.4375,21.298479080200195,169500
2000-02-02,35.375,35.625,35.0,35.3125,21.223350524902344,269300
2000-02-03,35.0,36.3125,35.0,36.1875,21.74924659729004,320200
2000-02-04,36.1875,36.1875,35.4375,35.5,21.336034774780273,224700
2000-02-07,35.25,35.5,34.875,35.0,21.035531997680664,317700
2000-02-08,34.0,34.5625,33.5,34.5625,20.7725830078125,326900
2000-02-09,33.875,33.875,32.25,33.3125,20.02132225036621,510600
2000-02-10,33.3125,33.75,32.75,33.5,20.134002685546875,274700
2000-02-11,33.0,33.75,31.5625,32.5625,19.570556640625,374900
2000-02-14,32.0,32.4375,31.3125,32.4375,19.49542999267578,274300
2000-02-15,32.25,33.875,32.125,33.5,20.134002685546875,276800
2000-02-16,33.5,33.5,32.1875,33.125,19.90863037109375,204100
2000-02-17,33.375,33.5,31.75,32.375,19.457874298095703,257600
2000-02-18,32.0,32.0,31.5,31.75,19.082229614257812,196700
2000-02-22,31.3125,32.4375,31.125,31.6875,19.04466438293457,375700
2000-02-23,31.75,31.75,30.25,30.3125,18.218271255493164,381100
2000-02-24,30.375,30.375,29.3125,30.25,18.18071174621582,780100
2000-02-25,29.9375,30.25,29.25,29.75,17.880203247070312,224200
2000-02-28,29.75,30.1875,29.6875,29.8125,17.917762756347656,476900
2000-02-29,29.5625,30.625,29.1875,30.0,18.03046226501465,471200
2000-03-01,30.25,30.25,29.5625,29.9375,17.992889404296875,296700
2000-03-02,30.1875,30.1875,29.0,29.3125,17.61725425720215,5187800
2000-03-03,29.25,32.0,28.8125,30.0,18.03046226501465,1271000
2000-03-06,30.375,30.375,28.75,29.875,17.955326080322266,469300
2000-03-07,29.875,30.4375,28.8125,29.125,17.50457000732422,646000
2000-03-08,29.125,30.6875,29.125,29.875,17.955326080322266,438400
2000-03-09,30.0625,31.625,30.0625,30.75,18.48122215270996,502100
2000-03-10,30.375,31.625,29.375,31.25,18.781723022460938,473100
2000-03-13,31.0,31.375,30.5,31.0,18.6314640045166,396700
2000-03-14,31.0,31.25,30.5625,31.125,18.706594467163086,223400
2000-03-15,31.9375,34.1875,31.0,33.8125,20.321823120117188,426500
2000-03-16,33.5,35.5,32.875,35.375,21.26091194152832,517700
2000-03-17,35.4375,35.4375,34.5,35.0,21.035531997680664,368500
2000-03-20,35.0,35.0,34.1875,34.4375,20.697452545166016,395800
2000-03-21,34.6875,35.125,34.0,34.8125,20.922840118408203,256800
2000-03-22,34.125,34.25,33.1875,33.4375,20.318235397338867,283400
2000-03-23,33.25,34.75,33.1875,34.25,20.81194496154785,158200
2000-03-24,34.0,34.5,33.8125,34.1875,20.773969650268555,219100
2000-03-27,33.9375,34.0,32.9375,32.9375,20.014413833618164,202500
2000-03-28,33.0625,33.875,32.6875,32.6875,19.86248779296875,185800
2000-03-29,32.9375,33.9375,32.9375,33.6875,20.47014617919922,202400
2000-03-30,33.6875,35.0625,33.375,33.8125,20.54609489440918,366100
2000-03-31,34.0,35.5,33.625,35.0625,21.305654525756836,176900
2000-04-03,35.0,36.375,34.75,35.8125,21.761388778686523,260900
2000-04-04,35.5625,36.875,34.6875,35.6875,21.685441970825195,304100
2000-04-05,35.75,36.4375,34.875,35.1875,21.381610870361328,181400
2000-04-06,34.5,35.1875,34.375,34.8125,21.153751373291016,215900
2000-04-07,34.75,35.3125,34.5,34.8125,21.153751373291016,199100
2000-04-10,34.625,35.6875,34.625,35.375,21.495546340942383,129900
2000-04-11,36.0,36.75,36.0,36.6875,22.293088912963867,212000
2000-04-12,36.4375,37.8125,36.25,36.3125,22.065227508544922,267200
2000-04-13,36.4375,37.375,36.4375,36.9375,22.44499397277832,167300
2000-04-14,36.25,36.6875,34.625,34.9375,21.229694366455078,272700
2000-04-17,35.0625,36.625,34.25,36.4375,22.14116668701172,300000
2000-04-18,36.25,36.25,34.125,35.25,21.419584274291992,217700
2000-04-19,35.0,35.0,34.1875,34.375,20.88789939880371,183500
2000-04-20,35.0,35.375,34.0,34.75,21.11576271057129,230700
2000-04-24,35.0,35.375,34.8125,35.25,21.419584274291992,154600
2000-04-25,35.0625,36.125,34.5625,36.0,21.87533187866211,123300
2000-04-26,36.25,36.5,34.875,35.1875,21.381610870361328,181500
2000-04-27,37.0,37.0,34.4375,34.75,21.11576271057129,202500
2000-04-28,34.25,34.6875,33.5625,34.4375,20.925884246826172,253300
2000-05-01,33.875,34.75,33.5,34.5625,21.001834869384766,181200
2000-05-02,34.3125,34.5,33.625,34.3125,20.849924087524414,203200
2000-05-03,34.0625,34.125,33.5,33.9375,20.62205696105957,431100
2000-05-04,33.9375,34.3125,33.8125,33.8125,20.54609489440918,124900
2000-05-05,33.8125,34.125,33.4375,33.625,20.432161331176758,258800
2000-05-08,33.75,34.0,33.3125,33.875,20.584081649780273,158300
2000-05-09,34.0,34.25,33.625,34.0,20.66004180908203,372900
2000-05-10,33.9375,34.3125,33.625,33.875,20.584081649780273,259600
2000-05-11,33.9375,34.0,33.5,33.6875,20.47014617919922,213500
2000-05-12,33.6875,33.8125,33.0,33.625,20.432161331176758,155700
2000-05-15,33.375,33.8125,32.25,32.5,19.74856185913086,431900
2000-05-16,32.75,33.4375,32.1875,33.0625,20.090360641479492,307400
2000-05-17,32.8125,33.0625,32.4375,32.8125,19.938457489013672,160100
2000-05-18,32.3125,32.9375,32.0,32.1875,19.558670043945312,236600
2000-05-19,32.1875,33.3125,31.75,32.9375,20.014413833618164,218300
2000-05-22,33.75,34.1875,33.25,33.53125,20.375205993652344,351500
2000-05-23,33.0,33.75,32.25,32.75,19.900470733642578,315300
2000-05-24,32.875,34.25,32.1875,33.65625,20.451148986816406,341700
2000-05-25,33.8125,33.8125,32.59375,33.15625,20.147329330444336,323900
2000-05-26,33.25,34.25,32.8125,33.53125,20.375205993652344,258500
2000-05-30,33.4375,34.625,32.875,34.125,20.735984802246094,466400
2000-05-31,33.875,34.1875,33.4375,34.0,20.66004180908203,282000
2000-06-01,33.75,34.4375,33.6875,34.3125,20.849924087524414,386900
2000-06-02,34.0625,34.5,33.8125,34.1875,20.773969650268555,335100
2000-06-05,34.125,34.1875,33.0625,33.625,20.432161331176758,249700
2000-06-06,33.5625,34.1875,33.0625,34.0,20.66004180908203,291900
2000-06-07,33.875,34.1875,33.6875,33.875,20.584081649780273,200500
2000-06-08,33.625,34.1875,32.9375,33.875,20.584081649780273,257600
2000-06-09,33.625,34.0,33.375,33.875,20.584081649780273,198300
2000-06-12,33.75,34.1875,33.6875,33.6875,20.47014617919922,235900
2000-06-13,33.8125,34.125,33.625,33.75,20.508129119873047,321600
2000-06-14,33.5625,34.3125,33.5625,34.25,20.81194496154785,258700
2000-06-15,34.5,34.5,31.0625,32.0,19.444738388061523,1150800
2000-06-16,32.0,32.375,31.75,32.0,19.444738388061523,671700
2000-06-19,31.875,32.0625,31.375,31.6875,19.25484275817871,340300
2000-06-20,31.375,31.375,30.8125,30.875,18.761131286621094,368300
2000-06-21,31.5,31.5,30.4375,30.5,18.533267974853516,320900
2000-06-22,30.0625,30.5625,29.625,30.375,18.690174102783203,366600
