Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,57.6875,57.6875,53.5625,54.3125,36.14043045043945,948700
2000-01-04,54.0,54.0,49.75,50.0,33.27082061767578,1250200
2000-01-05,49.9375,49.9375,48.125,48.875,32.52223205566406,1522800
2000-01-06,49.0,50.0625,47.875,49.0,32.60540771484375,984800
2000-01-07,49.5,50.875,48.875,50.75,33.76987075805664,1341700
2000-01-10,49.75,52.5,49.6875,52.3125,34.80960464477539,1541100
2000-01-11,52.0,52.4375,51.375,52.0625,34.64323806762695,1126900
2000-01-12,52.0,52.375,51.625,51.875,34.51847839355469,1129800
2000-01-13,51.875,53.0,51.75,52.25,34.76801681518555,992700
2000-01-14,52.5,53.625,52.125,53.25,35.43342971801758,1451400
2000-01-18,52.625,54.4375,52.375,54.0,35.932498931884766,805500
2000-01-19,54.0,55.9375,53.5,55.5625,36.97219467163086,1375700
2000-01-20,55.5625,55.5625,53.1875,53.3125,35.475013732910156,645500
2000-01-21,52.3125,53.125,51.5625,52.75,35.1007194519043,1050900
2000-01-24,52.75,52.75,50.5625,50.875,33.85306167602539,465700
2000-01-25,50.6875,51.5,50.4375,50.9375,33.894657135009766,916900
2000-01-26,50.9375,51.5625,49.75,50.6875,33.728294372558594,609400
2000-01-27,50.9375,51.1875,47.5,48.375,32.18952560424805,1005500
2000-01-28,48.75,48.75,46.3125,47.0,31.274580001831055,753300
2000-01-31,47.0,47.0,45.25,46.0,30.60915184020996,850900
2000-02-01,46.125,48.375,45.75,48.1875,32.06477355957031,941500
2000-02-02,48.0,49.3125,47.875,48.3125,32.147945404052734,682400
2000-02-03,48.25,49.875,48.25,49.0,32.60540771484375,772000
2000-02-04,49.3125,50.3125,49.1875,50.0625,33.31240463256836,661900
2000-02-07,49.875,50.0,49.25,49.5,32.938106536865234,750400
2000-02-08,49.9375,50.75,49.9375,50.375,33.52036666870117,734200
2000-02-09,49.75,49.8125,47.375,47.75,31.77362823486328,1043400
2000-02-10,48.0,48.25,46.6875,46.9375,31.232994079589844,923600
2000-02-11,46.25,46.75,45.8125,46.0625,30.650747299194336,1173400
2000-02-14,46.0,46.125,45.75,45.875,30.52597999572754,545900
2000-02-15,45.9375,46.125,45.4375,45.9375,30.567581176757812,735400
2000-02-16,46.0,46.0,45.5,45.6875,30.401214599609375,846100
2000-02-17,45.9375,45.9375,44.5,44.5625,29.652629852294922,803000
2000-02-18,44.6875,45.75,44.5,44.875,29.860551834106445,1430100
2000-02-22,45.5,45.875,44.625,45.0,29.943744659423828,1046100
2000-02-23,44.75,45.375,42.875,43.0,28.6129150390625,1360800
2000-02-24,42.0,42.625,39.9375,42.125,28.086196899414062,2390900
2000-02-25,41.875,41.9375,36.0,38.3125,25.544260025024414,5279000
2000-02-28,38.0,39.3125,37.0,39.1875,26.127656936645508,1546800
2000-02-29,39.875,41.0,39.5,40.1875,26.794391632080078,1960300
2000-03-01,40.1875,41.5,39.6875,41.5,27.669479370117188,1644400
2000-03-02,41.0,41.375,40.5,41.375,27.586130142211914,1151700
2000-03-03,40.875,42.4375,40.75,42.1875,28.12786102294922,838200
2000-03-06,42.1875,42.1875,40.875,41.3125,27.544469833374023,893200
2000-03-07,41.0625,41.125,40.0625,40.125,26.752716064453125,1555500
2000-03-08,40.0625,40.1875,38.6875,39.5,26.33601188659668,938300
2000-03-09,39.25,39.25,36.625,37.625,25.085878372192383,1907600
2000-03-10,37.4375,37.9375,36.5,37.0,24.669178009033203,1581100
2000-03-13,37.0,37.4375,36.375,37.0625,24.710847854614258,1133900
2000-03-14,37.5,38.5,37.125,38.0,25.33590316772461,1351300
2000-03-15,38.125,38.75,37.875,38.0,25.33590316772461,1539800
2000-03-16,38.625,40.8125,38.3125,40.8125,27.211103439331055,1311800
2000-03-17,40.8125,42.4375,40.8125,42.125,28.086196899414062,1454200
2000-03-20,42.375,43.5,41.0,41.5625,27.71115493774414,1171200
2000-03-21,41.5625,41.75,40.75,41.3125,27.544469833374023,977500
2000-03-22,40.9375,42.625,40.875,42.4375,28.294544219970703,685900
2000-03-23,42.5,43.75,42.1875,43.375,28.91961669921875,1278300
2000-03-24,43.5,44.0,43.375,43.75,29.16962242126465,1121800
2000-03-27,44.125,47.5,44.0,45.6875,30.46143341064453,1602600
2000-03-28,45.875,46.5625,45.6875,46.0625,30.711458206176758,917600
2000-03-29,46.125,48.5,45.9375,48.25,32.16992950439453,2002900
2000-03-30,48.0625,48.9375,47.5,48.0625,32.044921875,1088600
2000-03-31,47.8125,48.3125,47.1875,47.25,31.50320816040039,932000
2000-04-03,47.25,47.5,46.75,47.375,31.586544036865234,637100
2000-04-04,48.25,49.1875,46.4375,47.25,31.50320816040039,1979500
2000-04-05,47.25,47.375,45.875,47.0625,31.378189086914062,882500
2000-04-06,47.0,48.75,46.9375,48.25,32.16992950439453,869900
2000-04-07,48.125,48.25,46.5,47.4375,31.628202438354492,788400
2000-04-10,47.375,47.375,46.3125,46.625,31.08649444580078,1445800
2000-04-11,46.625,46.75,45.625,45.875,30.586442947387695,926500
2000-04-12,46.0,46.0625,44.0,44.875,29.919696807861328,1037900
2000-04-13,44.375,44.375,42.6875,43.5625,29.044618606567383,1147100
2000-04-14,43.0,43.0,39.125,40.9375,27.294445037841797,1364600
2000-04-17,39.125,39.375,37.1875,38.0,25.33590316772461,2191600
2000-04-18,38.625,39.25,38.0,38.4375,25.627613067626953,2573000
2000-04-19,38.6875,39.1875,38.0625,38.5,25.669281005859375,1287200
2000-04-20,38.6875,39.1875,38.5625,39.125,26.08599090576172,961500
2000-04-24,39.125,39.625,38.25,38.8125,25.87763786315918,939300
2000-04-25,39.0,40.0625,39.0,39.6875,26.461023330688477,1620000
2000-04-26,42.25,42.75,41.25,41.25,27.502803802490234,2866600
