Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.5625,9.625,9.375,9.46875,7.12804651260376,11339200
2000-01-04,9.40625,9.84375,9.375,9.78125,7.363292217254639,17990600
2000-01-05,9.71875,10.09375,9.6875,9.9375,7.480923652648926,15291000
2000-01-06,9.9375,9.9375,9.28125,9.5625,7.198620796203613,17686400
2000-01-07,9.5,9.625,9.34375,9.46875,7.12804651260376,13358200
2000-01-10,9.46875,9.46875,9.21875,9.21875,6.939846038818359,8824000
2000-01-11,8.96875,9.25,8.90625,9.15625,6.892796993255615,9792600
2000-01-12,9.125,9.53125,9.125,9.28125,6.986900806427002,6635800
2000-01-13,9.3125,9.59375,9.15625,9.5,7.1515703201293945,11179800
2000-01-14,9.53125,9.5625,9.125,9.21875,6.939846038818359,6856800
2000-01-18,9.3125,9.3125,8.8125,9.0,6.775173187255859,9452200
2000-01-19,9.0,9.09375,8.875,9.0,6.775173187255859,5676200
2000-01-20,9.03125,9.03125,8.59375,8.6875,6.539924621582031,7137800
2000-01-21,8.71875,8.71875,8.34375,8.40625,6.328202247619629,8151000
2000-01-24,8.5,8.5625,8.03125,8.15625,6.140000820159912,11600200
2000-01-25,8.09375,8.125,7.90625,8.0625,6.069427013397217,7716600
2000-01-26,8.03125,8.40625,8.03125,8.25,6.210576057434082,13237000
2000-01-27,8.4375,8.84375,8.40625,8.46875,6.375251293182373,14937000
2000-01-28,8.40625,8.5625,8.28125,8.28125,6.234102725982666,8821200
2000-01-31,8.46875,8.8125,8.40625,8.6875,6.539924621582031,8737600
2000-02-01,8.71875,8.875,8.59375,8.875,6.681073188781738,6502000
2000-02-02,8.84375,9.125,8.65625,9.09375,6.845746040344238,7734200
2000-02-03,9.125,9.25,8.8125,9.0,6.775173187255859,11771600
2000-02-04,8.875,8.90625,8.46875,8.8125,6.634023189544678,8523000
2000-02-07,8.46875,8.75,8.4375,8.46875,6.375251293182373,5190200
2000-02-08,8.5625,8.90625,8.5,8.90625,6.704599380493164,6891400
