Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.21875,9.21875,8.75,9.0625,8.984660148620605,52280
2000-01-04,8.90625,8.90625,8.4375,8.75,8.674844741821289,66160
2000-01-05,8.59375,8.75,8.4375,8.75,8.674844741821289,24000
2000-01-06,8.59375,8.75,8.4375,8.59375,8.519936561584473,38520
2000-01-07,8.59375,8.90625,8.4375,8.90625,8.829752922058105,79440
2000-01-10,9.0625,9.0625,8.75,8.75,8.674844741821289,136720
2000-01-11,8.59375,8.75,8.4375,8.4375,8.365028381347656,38720
2000-01-12,8.4375,8.59375,8.4375,8.4375,8.365028381347656,38240
2000-01-13,8.4375,8.90625,8.28125,8.90625,8.829752922058105,269160
2000-01-14,8.75,8.90625,8.75,8.90625,8.829752922058105,47680
2000-01-18,8.75,8.90625,8.4375,8.75,8.674844741821289,95760
2000-01-19,8.75,8.75,8.59375,8.75,8.674844741821289,51560
2000-01-20,8.59375,8.75,8.59375,8.59375,8.519936561584473,121120
2000-01-21,8.59375,8.59375,8.28125,8.59375,8.519936561584473,201360
2000-01-24,8.4375,8.4375,8.28125,8.4375,8.365028381347656,98920
2000-01-25,8.28125,8.4375,8.125,8.28125,8.21012020111084,92000
2000-01-26,8.28125,8.28125,7.8125,8.28125,8.21012020111084,165760
2000-01-27,8.4375,8.4375,7.96875,8.125,8.05521297454834,747200
2000-01-28,8.28125,8.4375,8.28125,8.4375,8.365028381347656,66560
2000-01-31,8.125,8.28125,7.96875,8.28125,8.21012020111084,84600
2000-02-01,8.28125,8.4375,8.125,8.28125,8.21012020111084,56920
2000-02-02,8.28125,8.59375,8.28125,8.4375,8.365028381347656,108880
2000-02-03,8.59375,8.59375,8.4375,8.59375,8.519936561584473,41520
2000-02-04,8.4375,8.59375,8.28125,8.4375,8.365028381347656,43080
2000-02-07,8.4375,9.53125,8.28125,9.53125,9.449383735656738,984160
2000-02-08,9.6875,10.625,9.6875,10.3125,10.22392463684082,797360
2000-02-09,10.3125,10.3125,9.6875,10.0,9.914108276367188,169440
2000-02-10,10.0,10.0,9.6875,9.6875,9.604291915893555,165760
2000-02-11,9.84375,9.84375,9.6875,9.6875,9.604291915893555,136080
2000-02-14,9.375,9.84375,9.21875,9.84375,9.759200096130371,209120
2000-02-15,10.0,10.15625,8.90625,10.0,9.914108276367188,1317000
2000-02-16,9.6875,10.0,9.53125,9.84375,9.759200096130371,627160
2000-02-17,9.84375,9.84375,9.53125,9.84375,9.759200096130371,250080
2000-02-18,9.84375,9.84375,9.6875,9.84375,9.759200096130371,622880
2000-02-22,9.84375,10.0,9.53125,9.84375,9.759200096130371,487280
2000-02-23,9.84375,9.84375,9.21875,9.53125,9.449383735656738,150760
2000-02-24,9.53125,9.6875,9.0625,9.375,9.294475555419922,124360
2000-02-25,9.53125,9.53125,9.21875,9.375,9.294475555419922,136080
2000-02-28,9.375,9.53125,8.75,9.0625,8.984660148620605,277720
2000-02-29,9.0625,10.0,9.0625,10.0,9.914108276367188,531800
2000-03-01,10.0,10.15625,9.84375,10.15625,10.069016456604004,1121560
2000-03-02,10.15625,10.625,10.0,10.625,10.533740043640137,1215560
2000-03-03,10.625,10.625,10.46875,10.46875,10.37883186340332,373680
2000-03-06,10.625,11.09375,10.46875,11.09375,10.998464584350586,1474720
2000-03-07,11.25,11.71875,10.625,10.78125,10.688648223876953,841360
2000-03-08,10.9375,10.9375,10.46875,10.625,10.533740043640137,297880
2000-03-09,10.78125,10.9375,10.78125,10.9375,10.84355640411377,186000
2000-03-10,10.78125,10.9375,10.0,10.0,9.914108276367188,210280
2000-03-13,10.15625,10.625,9.6875,10.46875,10.37883186340332,345440
2000-03-14,10.46875,10.625,10.3125,10.46875,10.37883186340332,1464080
2000-03-15,10.3125,10.46875,10.3125,10.3125,10.22392463684082,1439400
2000-03-16,10.46875,10.625,10.3125,10.625,10.533740043640137,720320
2000-03-17,10.625,10.78125,10.46875,10.46875,10.37883186340332,171640
2000-03-20,10.625,10.625,10.3125,10.3125,10.22392463684082,337640
2000-03-21,10.3125,10.46875,10.0,10.3125,10.22392463684082,115400
2000-03-22,10.3125,10.3125,9.375,10.15625,10.069016456604004,375200
2000-03-23,10.0,10.15625,9.53125,9.6875,9.604291915893555,455960
2000-03-24,9.84375,9.84375,9.53125,9.84375,9.759200096130371,170760
2000-03-27,9.84375,9.84375,9.53125,9.84375,9.759200096130371,137200
2000-03-28,9.6875,10.0,9.375,10.0,9.914108276367188,120560
2000-03-29,9.84375,9.84375,9.375,9.6875,9.604291915893555,115320
2000-03-30,9.53125,9.6875,9.53125,9.53125,9.449383735656738,182000
2000-03-31,9.84375,10.78125,9.53125,10.625,10.533740043640137,781600
2000-04-03,10.46875,10.625,10.15625,10.46875,10.37883186340332,128480
2000-04-04,10.78125,10.9375,9.84375,10.46875,10.37883186340332,279800
2000-04-05,10.3125,10.46875,10.15625,10.46875,10.37883186340332,249760
