Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5625,8.625,8.25,8.4375,6.795353889465332,149600
2000-01-04,8.375,8.5625,8.125,8.5625,6.896026134490967,140100
2000-01-05,8.625,8.75,8.125,8.3125,6.694681644439697,199900
2000-01-06,8.3125,8.75,8.3125,8.5,6.845689296722412,216200
2000-01-07,8.5625,8.8125,8.5,8.75,7.047032356262207,164900
2000-01-10,8.625,8.625,8.375,8.5,6.845689296722412,107300
2000-01-11,8.375,8.6875,8.3125,8.625,6.946363925933838,80900
2000-01-12,8.625,8.6875,8.1875,8.1875,6.594010829925537,186600
2000-01-13,8.4375,8.4375,8.3125,8.4375,6.795353889465332,153100
2000-01-14,8.375,8.8125,8.3125,8.6875,6.9966959953308105,391900
2000-01-18,8.9375,9.3125,8.6875,9.3125,7.500058650970459,449100
2000-01-19,9.375,9.625,8.75,9.125,7.349049091339111,490600
2000-01-20,9.0,9.0,8.6875,9.0,7.248377799987793,279300
2000-01-21,9.0,9.4375,9.0,9.4375,7.600729465484619,449000
2000-01-24,9.4375,10.1875,9.4375,9.5,7.651066303253174,390900
2000-01-25,9.625,9.875,9.375,9.75,7.852407455444336,208800
2000-01-26,10.125,10.1875,9.8125,9.8125,7.902744293212891,331700
2000-01-27,9.8125,9.875,8.8125,8.8125,7.097370147705078,215000
2000-01-28,8.875,9.125,8.625,8.625,6.946363925933838,190000
2000-01-31,8.625,8.8125,8.5625,8.5625,6.896026134490967,164200
2000-02-01,8.625,8.9375,8.4375,8.9375,7.1980414390563965,134100
2000-02-02,9.0,9.5,9.0,9.3125,7.500058650970459,232100
2000-02-03,9.4375,9.4375,8.75,9.0,7.248377799987793,137100
2000-02-04,9.125,9.25,8.5625,8.875,7.147703647613525,99400
2000-02-07,8.9375,8.9375,8.3125,8.6875,6.9966959953308105,133900
2000-02-08,8.6875,8.6875,8.3125,8.375,6.745018482208252,189200
2000-02-09,8.375,8.375,8.125,8.125,6.543673515319824,108500
2000-02-10,8.0625,8.375,7.9375,8.3125,6.694681644439697,155800
2000-02-11,8.3125,8.3125,8.0,8.125,6.543673515319824,154300
2000-02-14,8.0,8.0625,7.75,7.875,6.342332363128662,206900
2000-02-15,8.0,8.125,7.75,8.0625,6.493337631225586,665400
2000-02-16,8.0,8.0,7.6875,7.75,6.241657257080078,617200
2000-02-17,7.8125,7.9375,7.5,7.6875,6.1913228034973145,211200
2000-02-18,7.75,7.8125,6.75,6.875,5.536953926086426,630400
2000-02-22,7.125,7.6875,7.0625,7.4375,5.989978790283203,411400
