Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.5,19.625,19.125,19.125,9.938688278198242,21000
2000-01-04,19.125,19.25,18.625,18.875,9.808772087097168,9800
2000-01-05,18.875,18.875,18.625,18.75,9.743809700012207,19200
2000-01-06,18.75,19.125,18.5,19.125,9.938688278198242,25200
2000-01-07,19.125,19.25,19.125,19.25,10.003646850585938,4200
2000-01-10,19.25,19.375,19.0,19.0,9.873732566833496,21800
2000-01-11,19.0,19.125,18.875,19.0,9.873732566833496,34200
2000-01-12,19.0,19.125,18.875,19.125,9.938688278198242,15400
2000-01-13,19.125,19.375,19.125,19.125,9.938688278198242,9400
2000-01-14,19.125,19.25,19.125,19.25,10.003646850585938,6200
2000-01-18,19.25,19.25,19.125,19.25,10.003646850585938,13400
2000-01-19,19.25,19.5,19.125,19.5,10.133566856384277,15600
2000-01-20,19.5,19.5,19.125,19.25,10.003646850585938,11600
2000-01-21,19.25,19.25,19.0,19.125,9.938688278198242,12400
2000-01-24,19.125,19.125,18.625,18.625,9.678853988647461,10600
2000-01-25,18.625,18.75,18.375,18.375,9.54893684387207,8000
2000-01-26,18.375,18.625,18.375,18.625,9.678853988647461,10800
2000-01-27,18.625,18.625,18.375,18.375,9.54893684387207,9400
2000-01-28,18.375,18.5,18.0,18.125,9.41901683807373,15000
2000-01-31,18.125,18.125,17.0,17.5,9.09422492980957,101600
2000-02-01,17.5,17.625,17.25,17.5,9.09422492980957,27800
2000-02-02,17.5,17.625,17.375,17.5,9.09422492980957,10000
2000-02-03,17.5,17.625,17.375,17.5,9.09422492980957,11600
2000-02-04,17.5,17.875,17.375,17.75,9.224143981933594,7600
2000-02-07,17.75,18.125,17.75,18.125,9.41901683807373,9800
2000-02-08,18.125,18.125,17.5,18.125,9.41901683807373,23400
2000-02-09,18.125,18.5,18.0,18.375,9.54893684387207,12200
2000-02-10,18.25,18.25,17.375,17.875,9.289107322692871,15400
2000-02-11,17.875,17.875,17.25,17.375,9.029266357421875,20600
2000-02-14,17.375,17.375,16.875,17.25,8.96430778503418,18400
2000-02-15,17.25,17.875,17.25,17.875,9.289107322692871,17400
2000-02-16,17.875,18.125,17.875,18.0,9.354063987731934,5000
2000-02-17,18.0,18.375,17.625,18.25,9.48398208618164,13400
2000-02-18,18.125,18.125,17.25,17.25,8.96430778503418,15000
2000-02-22,17.25,17.375,16.75,16.875,8.769431114196777,15400
2000-02-23,16.875,17.25,16.625,17.125,8.899349212646484,11600
2000-02-24,17.125,17.25,17.0,17.125,8.899349212646484,2400
2000-02-25,17.0,17.0,16.875,17.0,8.834390640258789,4800
2000-02-28,17.0,17.125,16.625,17.125,8.899349212646484,13800
2000-02-29,17.125,17.125,16.875,17.125,8.899349212646484,10600
2000-03-01,17.125,17.375,17.0,17.0,8.834390640258789,19400
2000-03-02,17.0,17.375,17.0,17.0,8.834390640258789,5400
2000-03-03,17.0,17.125,17.0,17.0,8.834390640258789,23000
2000-03-06,16.875,16.875,16.375,16.625,8.639516830444336,22800
2000-03-07,16.625,16.625,16.25,16.375,8.509597778320312,18200
2000-03-08,16.375,16.625,16.125,16.625,8.639516830444336,10000
2000-03-09,16.75,17.0,16.75,16.75,8.704473495483398,9400
2000-03-10,16.625,16.625,16.25,16.625,8.639516830444336,16200
2000-03-13,16.625,16.625,16.5,16.625,8.639516830444336,6400
