Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,65.0625,65.4375,60.125,61.8125,57.63035583496094,1353500
2000-01-04,60.25,61.25,59.5,59.9375,55.88220977783203,1611800
2000-01-05,59.875,60.375,56.25,58.625,54.65850830078125,1855800
2000-01-06,58.0,58.4375,55.25,55.75,51.97803497314453,964700
2000-01-07,55.75,57.125,54.875,56.9375,53.0851936340332,809200
2000-01-10,58.25,63.375,58.25,61.9375,57.74689483642578,1109800
2000-01-11,61.8125,63.25,59.4375,60.125,56.05702209472656,1933400
2000-01-12,58.8125,62.375,57.75,61.0625,56.931095123291016,1405400
2000-01-13,61.125,61.6875,59.5,60.75,56.639747619628906,1474900
2000-01-14,64.5,72.25,64.5,68.0,63.39921951293945,3204300
2000-01-18,68.3125,72.375,67.8125,69.6875,64.97252655029297,1533900
2000-01-19,75.875,78.25,74.5,77.25,72.02338409423828,3629200
2000-01-20,77.0,78.0625,74.0,74.3125,69.28461456298828,3571000
2000-01-21,75.25,75.25,71.1875,72.375,67.47819519042969,2060100
2000-01-24,72.375,74.4375,70.6875,71.3125,66.48760986328125,1412500
2000-01-25,71.0,72.375,67.3125,72.0625,67.18685150146484,1786600
2000-01-26,71.8125,71.875,67.0,69.4375,64.73945617675781,1358600
2000-01-27,70.0625,71.0,67.875,68.625,63.98192596435547,1601800
2000-01-28,68.5,68.5625,62.75,62.875,58.6209602355957,1414700
2000-01-31,64.25,65.4375,62.5,64.75,60.369110107421875,1457700
2000-02-01,64.75,70.625,63.625,70.1875,65.43872833251953,2122700
2000-02-02,70.1875,72.75,69.9375,71.8125,66.95376586914062,1913500
2000-02-03,71.5625,75.625,71.125,75.25,70.15869903564453,1477600
2000-02-04,75.0,75.4375,72.625,72.75,67.82781982421875,1189800
2000-02-07,73.0,77.4375,72.5625,76.9375,71.73202514648438,1175500
2000-02-08,76.6875,77.625,73.75,77.5,72.2564468383789,1391800
2000-02-09,77.75,79.5625,74.6875,75.0,69.92562103271484,1990400
2000-02-10,76.0,79.25,75.75,78.9375,73.5966796875,1321300
2000-02-11,80.0,80.0,75.0625,75.375,70.27522277832031,1251700
2000-02-14,76.1875,77.9375,75.0,77.3125,72.0816421508789,1042400
2000-02-15,77.1875,78.5,75.875,78.5,73.18878936767578,1146900
2000-02-16,79.5,80.9375,79.0625,80.0,74.5873031616211,1135300
2000-02-17,79.25,81.3125,77.25,80.625,75.1700439453125,1112800
2000-02-18,80.5,80.5625,76.625,77.5,72.2564468383789,884200
2000-02-22,77.5625,84.5,77.0,83.25,77.61742401123047,2110400
2000-02-23,84.75,85.125,79.625,80.9375,75.46138000488281,2520300
2000-02-24,81.875,86.0,81.75,86.0,80.18135070800781,1698100
2000-02-25,85.0,89.5,84.125,84.875,79.13248443603516,1878900
2000-02-28,84.75,85.25,79.375,84.9375,79.19075012207031,1858700
2000-02-29,85.5,89.0,84.875,87.0,81.11370849609375,1461200
2000-03-01,87.0,89.6875,87.0,89.5,83.44457244873047,1443000
2000-03-02,89.6875,90.9375,83.25,83.9375,78.25840759277344,2166900
2000-03-03,83.9375,89.1875,83.9375,88.4375,82.45394897460938,1293700
2000-03-06,88.4375,90.25,87.0,87.1875,81.28849792480469,1224500
2000-03-07,87.1875,89.875,85.875,87.0,81.11370849609375,1380500
2000-03-08,87.0,87.0,80.6875,82.125,76.56851196289062,1906100
2000-03-09,82.125,84.5,80.625,82.75,77.1512680053711,2270200
2000-03-10,83.5,90.8125,83.375,89.5625,83.50282287597656,2812800
2000-03-13,87.625,89.0,85.8125,89.0,82.9783935546875,1506600
2000-03-14,90.5,93.4375,81.5625,81.5625,76.0440902709961,1918700
2000-03-15,81.5625,81.5625,74.75,74.75,69.69252014160156,2123500
2000-03-16,78.0,78.6875,71.5,76.0,70.85794830322266,3301100
2000-03-17,76.75,86.0,76.5625,83.0,77.38433074951172,2397900
2000-03-20,80.1875,86.75,80.1875,84.75,79.01593017578125,2033100
2000-03-21,87.625,87.625,81.0,83.0,77.38433074951172,2103400
2000-03-22,83.25,90.0,83.25,90.0,83.91073608398438,1980900
2000-03-23,89.9375,90.0,87.375,88.1875,82.2208480834961,1063400
2000-03-24,89.9375,94.75,88.25,91.6875,85.48406219482422,1557600
2000-03-27,91.4375,94.9375,88.25,89.125,83.09494018554688,1290900
2000-03-28,91.0,91.0,86.375,86.4375,80.5892562866211,1042800
2000-03-29,87.125,87.3125,80.25,83.75,78.0835952758789,1911600
2000-03-30,83.8125,85.1875,77.125,79.75,74.3542251586914,1510900
2000-03-31,81.25,82.8125,76.0625,82.0,76.45198822021484,1766700
2000-04-03,82.0,82.0,72.375,74.125,69.10981750488281,2758700
2000-04-04,76.0,82.375,69.9375,80.9375,75.46138000488281,3298300
2000-04-05,79.0,89.125,77.25,87.0,81.11370849609375,2699600
2000-04-06,90.0,96.875,89.5,96.25,89.73784637451172,3726800
2000-04-07,98.0,98.9375,94.375,98.0,91.36946105957031,2408100
2000-04-10,98.8125,99.5625,92.5625,94.125,87.75664520263672,2269500
2000-04-11,92.3125,93.4375,89.5,92.1875,85.95022583007812,3048500
2000-04-12,92.4375,94.5,84.25,84.4375,78.7245864868164,2065600
2000-04-13,84.625,93.0,82.0,83.375,77.73395538330078,2702900
2000-04-14,83.5,85.375,73.0625,75.4375,70.33350372314453,2948200
2000-04-17,73.5,87.375,73.5,87.25,81.3468017578125,2273500
2000-04-18,87.25,94.0,83.75,91.9375,85.71714782714844,1935000
2000-04-19,98.5,102.0,92.0,92.125,85.89196014404297,5119200
2000-04-20,93.125,99.4375,90.6875,96.3125,89.79615020751953,2861200
2000-04-24,94.625,94.75,87.0,92.5,86.24158477783203,2358700
2000-04-25,95.0,107.0,95.0,103.375,96.38078308105469,2989700
2000-04-26,103.4375,107.0,101.0625,102.1875,95.27362823486328,2680900
2000-04-27,100.625,110.625,100.125,107.9375,100.63459014892578,2375800
2000-04-28,109.3125,112.0,108.125,110.0,102.55757141113281,1739800
2000-05-01,110.0625,115.4375,109.0,109.3125,101.91658782958984,2287800
2000-05-02,108.5,114.6875,107.875,108.0,100.69287872314453,2161500
2000-05-03,107.5625,107.5625,97.25,100.1875,93.4089584350586,2521600
2000-05-04,101.75,105.9375,100.25,104.9375,97.83757019042969,2134900
2000-05-05,106.0,109.75,104.5,108.625,101.27557373046875,2128700
2000-05-08,108.375,109.625,101.1875,101.4375,94.57437133789062,1505100
2000-05-09,101.4375,103.875,93.5,93.75,87.40699768066406,2436300
2000-05-10,90.25,90.25,82.375,84.0,78.31665802001953,3757800
2000-05-11,84.0625,85.3125,80.25,83.0,77.38433074951172,3290400
2000-05-12,84.4375,91.9375,84.125,87.9375,81.98775482177734,2319000
2000-05-15,87.6875,89.4375,82.4375,86.9375,81.0554428100586,2004100
2000-05-16,89.625,91.375,86.5625,89.25,83.21146392822266,2311200
2000-05-17,89.0,92.25,87.5625,91.5,85.30924224853516,2190100
2000-05-18,91.5,92.4375,89.625,90.75,84.60999298095703,2049900
2000-05-19,90.5625,90.5625,83.125,84.75,79.01593017578125,2217500
2000-05-22,83.9375,84.9375,76.5625,84.5,78.7828598022461,2632600
2000-05-23,82.0,82.0,74.375,75.25,70.15869903564453,5671200
2000-05-24,74.0,74.5,65.0,70.5,65.7300796508789,6567300
2000-05-25,71.5,78.0625,71.25,74.125,69.10981750488281,4950200
2000-05-26,74.4375,76.5,71.0,72.75,67.82781982421875,1521800
2000-05-30,75.6875,84.8125,75.6875,84.5625,78.84112548828125,2445500
2000-05-31,85.125,88.1875,84.75,86.0,80.18135070800781,3308400
2000-06-01,86.625,92.0,86.625,90.5625,84.43516540527344,2172000
2000-06-02,98.75,101.0,96.5,99.28125,92.56401062011719,2866000
2000-06-05,99.1875,102.5,94.625,96.0,89.50477600097656,2083200
2000-06-06,96.3125,98.6875,91.25,92.0,85.77539825439453,1820800
2000-06-07,92.25,95.0625,90.625,94.9375,88.51416778564453,1508200
2000-06-08,96.625,98.0,91.5625,93.625,87.29045867919922,1353900
2000-06-09,94.3125,95.5,90.6875,91.25,85.07616424560547,1283100
2000-06-12,93.125,93.125,87.0,87.5,81.57987213134766,1376900
2000-06-13,87.75,88.6875,83.75,87.125,81.23025512695312,2008500
2000-06-14,88.0,88.875,84.8125,84.875,79.13248443603516,2611000
2000-06-15,85.5,87.5,84.125,87.0,81.11370849609375,1800300
2000-06-16,87.5,87.9375,79.875,80.75,75.28655242919922,3372100
2000-06-19,81.5,83.9375,78.3125,83.375,77.73395538330078,3853900
2000-06-20,82.5625,85.4375,80.125,81.875,76.33543395996094,2435400
2000-06-21,80.0,81.9375,78.875,79.25,73.8880615234375,2149000
2000-06-22,80.0,83.875,79.375,81.0,75.5196533203125,2832000
2000-06-23,81.25,82.4375,79.625,81.0,75.5196533203125,1541200
2000-06-26,81.125,84.3125,76.625,79.25,73.8880615234375,1966900
2000-06-27,78.375,80.6875,73.1875,76.0,70.85794830322266,3047500
2000-06-28,76.25,79.4375,75.3125,77.3125,72.0816421508789,1963800
2000-06-29,77.0,77.6875,73.75,75.0,69.92562103271484,1803600
2000-06-30,76.5,78.75,73.40625,73.5,68.5270767211914,2474600
2000-07-03,74.25,77.8125,73.5625,77.5625,72.31473541259766,931400
2000-07-05,74.25,75.125,71.0,73.125,68.1774673461914,2305500
2000-07-06,73.375,75.75,72.4375,75.6875,70.56658172607422,2187200
2000-07-07,77.5,81.0,76.375,78.0,72.72264862060547,2111400
2000-07-10,78.25,80.8125,77.625,79.25,73.8880615234375,1359000
2000-07-11,79.3125,79.8125,74.8125,75.9375,70.7996597290039,1760300
2000-07-12,76.375,78.0,72.3125,73.0,68.0609359741211,4130200
2000-07-13,73.625,74.5,68.25,72.25,67.3616714477539,5574900
2000-07-14,72.5625,75.5,72.375,75.3125,70.21697235107422,3423900
2000-07-17,75.5,79.0,74.5625,79.0,73.65496063232422,2637400
2000-07-18,76.0625,76.375,67.5,68.0,63.39921951293945,3903000
2000-07-19,69.0,70.75,67.3125,70.75,65.96316528320312,7057300
2000-07-20,70.0,72.875,69.0625,70.5,65.7300796508789,3983200
2000-07-21,69.5,70.0625,68.375,68.75,64.09845733642578,2169300
2000-07-24,68.8125,69.625,64.125,65.75,61.301429748535156,2468700
2000-07-25,66.5,66.8125,62.5,64.3125,59.961204528808594,2761900
2000-07-26,61.375,63.375,60.125,61.0,56.87282180786133,2727300
2000-07-27,61.125,61.75,55.5625,55.75,51.97803497314453,3489100
2000-07-28,58.0,61.0,56.0,59.875,55.823936462402344,3074300
2000-07-31,59.875,63.875,59.75,63.0,58.73750686645508,2636900
2000-08-01,62.875,62.875,60.5,61.0,56.87282180786133,1856400
2000-08-02,60.0,63.1875,58.75,59.1875,55.182960510253906,1581700
2000-08-03,47.5,54.375,45.9375,53.625,49.996803283691406,11093800
2000-08-04,55.0,55.125,48.875,51.3125,47.84077072143555,5536400
2000-08-07,51.9375,55.625,51.5,54.875,51.16223907470703,2597500
2000-08-08,54.875,55.5,51.3125,52.1875,48.65657043457031,2261200
2000-08-09,53.5625,53.75,51.25,51.5,48.01557922363281,2070900
2000-08-10,51.5,53.875,50.875,52.875,49.29755783081055,2534100
2000-08-11,52.875,54.75,51.5625,53.8125,50.17161178588867,1591700
2000-08-14,53.8125,57.9375,53.0,57.5625,53.66789627075195,2231900
2000-08-15,58.6875,60.4375,57.6875,58.875,54.89159393310547,3839700
