Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.0,15.1875,14.6875,15.0,12.330120086669922,432200
2000-01-04,14.875,14.9375,14.3125,14.4375,11.867740631103516,568400
2000-01-05,14.75,14.75,14.3125,14.5625,11.970494270324707,490800
2000-01-06,14.375,14.5625,14.3125,14.5625,11.970494270324707,561900
2000-01-07,14.4375,14.75,14.3125,14.75,12.124619483947754,266600
2000-01-10,14.5625,14.75,14.5,14.625,12.021867752075195,470000
2000-01-11,14.5,14.9375,14.5,14.75,12.124619483947754,277900
2000-01-12,14.75,14.8125,14.0,14.375,11.816365242004395,432300
2000-01-13,14.25,14.9375,14.25,14.875,12.227370262145996,477500
2000-01-14,14.9375,14.9375,14.5625,14.625,12.021867752075195,274400
2000-01-18,14.75,14.75,14.3125,14.4375,11.867740631103516,520300
2000-01-19,14.3125,14.5625,14.1875,14.25,11.71361255645752,660200
2000-01-20,14.3125,14.625,14.3125,14.5,11.91911792755127,556000
2000-01-21,14.5,14.75,14.375,14.4375,11.867740631103516,1097200
2000-01-24,14.5,14.8125,14.4375,14.625,12.021867752075195,658900
2000-01-25,14.5625,15.375,14.5,14.75,12.124619483947754,878400
2000-01-26,14.75,16.125,14.6875,15.5625,12.792500495910645,1525400
2000-01-27,16.25,17.0,16.1875,16.5,13.563133239746094,1427900
2000-01-28,16.125,16.4375,15.75,16.25,13.357632637023926,723000
2000-01-31,16.375,17.8125,16.3125,17.3125,14.231013298034668,1685700
2000-02-01,17.75,17.75,17.0625,17.6875,14.539268493652344,1874500
2000-02-02,17.5,17.5625,17.1875,17.375,14.28238582611084,750500
2000-02-03,17.4375,17.625,17.375,17.5625,14.436515808105469,629100
2000-02-04,17.5,17.75,17.4375,17.4375,14.333761215209961,841400
2000-02-07,17.375,17.875,17.375,17.4375,14.333761215209961,778700
2000-02-08,17.5,17.625,16.75,16.875,13.871384620666504,684200
2000-02-09,16.75,16.8125,16.25,16.5625,13.614506721496582,482700
2000-02-10,16.3125,16.625,16.0625,16.25,13.357632637023926,320800
2000-02-11,16.5,16.5,16.0,16.125,13.254878044128418,314100
2000-02-14,16.0,16.625,15.9375,16.375,13.460376739501953,455700
2000-02-15,16.375,16.8125,16.25,16.625,13.665889739990234,400600
2000-02-16,16.375,16.625,16.25,16.4375,13.511756896972656,207400
2000-02-17,16.3125,16.6875,15.9375,15.9375,13.100752830505371,301600
2000-02-18,16.0625,16.1875,15.4375,15.6875,12.89525032043457,427300
