Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.9375,10.0,9.6875,9.9375,3.0010552406311035,193500
2000-01-04,9.8125,9.875,9.4375,9.5,2.868934154510498,289000
2000-01-05,9.625,9.9375,9.625,9.6875,2.925558090209961,258300
2000-01-06,9.8125,10.375,9.8125,10.375,3.13317608833313,206200
2000-01-07,10.375,10.4375,10.125,10.1875,3.076554298400879,257600
2000-01-10,10.25,10.3125,10.125,10.1875,3.076554298400879,179900
2000-01-11,10.25,10.375,10.125,10.3125,3.11430287361145,254100
2000-01-12,10.1875,10.25,10.0625,10.125,3.1383252143859863,278600
2000-01-13,10.125,10.1875,9.8125,9.9375,3.0802083015441895,229300
2000-01-14,10.0,10.0625,9.8125,9.9375,3.0802083015441895,2696300
2000-01-18,9.875,9.9375,9.5625,9.6875,3.002718448638916,301500
2000-01-19,9.75,10.0,9.6875,9.9375,3.0802083015441895,366800
2000-01-20,9.9375,10.0625,9.9375,9.9375,3.0802083015441895,211100
2000-01-21,10.0,10.5,10.0,10.4375,3.23518705368042,607200
2000-01-24,10.5,10.5,10.25,10.25,3.177067756652832,194700
2000-01-25,10.3125,10.375,10.25,10.25,3.177067756652832,135100
2000-01-26,10.25,10.5,10.0625,10.125,3.1383252143859863,217500
2000-01-27,10.0,10.1875,9.9375,9.9375,3.0802083015441895,166700
2000-01-28,9.9375,10.0625,9.875,9.875,3.0608341693878174,125500
2000-01-31,9.8125,9.875,9.625,9.625,2.9833476543426514,213000
2000-02-01,9.625,9.9375,9.5625,9.9375,3.0802083015441895,245700
2000-02-02,9.875,10.0625,9.8125,10.0625,3.1189517974853516,158200
2000-02-03,9.9375,10.1875,9.9375,10.1875,3.1576976776123047,261300
2000-02-04,10.0625,10.375,10.0625,10.375,3.215813159942627,322500
2000-02-07,10.25,10.3125,10.125,10.125,3.1383252143859863,147600
2000-02-08,10.125,10.3125,10.0,10.0625,3.1189517974853516,165400
2000-02-09,10.0625,10.125,10.0,10.0625,3.1189517974853516,135800
2000-02-10,10.0625,10.1875,10.0,10.0625,3.1189517974853516,468400
2000-02-11,10.0625,10.1875,10.0,10.0,3.0995798110961914,156400
2000-02-14,10.0,10.125,10.0,10.0625,3.1189517974853516,158200
2000-02-15,10.0,10.125,9.9375,10.0,3.0995798110961914,284200
2000-02-16,10.0625,10.0625,9.8125,9.8125,3.041463851928711,180800
2000-02-17,9.8125,9.9375,9.8125,9.9375,3.0802083015441895,185500
2000-02-18,10.0,10.0,9.75,9.8125,3.041463851928711,183400
2000-02-22,9.75,9.8125,9.625,9.75,3.0220913887023926,247200
2000-02-23,9.75,9.9375,9.75,9.9375,3.0802083015441895,210900
2000-02-24,9.875,9.9375,9.8125,9.8125,3.041463851928711,133300
2000-02-25,9.8125,9.9375,9.8125,9.875,3.0608341693878174,98500
2000-02-28,9.875,10.0625,9.875,10.0,3.0995798110961914,210400
2000-02-29,9.875,10.0,9.875,10.0,3.0995798110961914,228000
2000-03-01,10.0,10.0,9.75,9.75,3.0220913887023926,141500
2000-03-02,9.6875,9.9375,9.6875,9.875,3.0608341693878174,218100
2000-03-03,9.9375,9.9375,9.875,9.875,3.0608341693878174,178800
2000-03-06,9.875,9.9375,9.625,9.875,3.0608341693878174,261300
2000-03-07,9.8125,9.875,9.5625,9.5625,2.963972568511963,178600
2000-03-08,9.5625,9.8125,9.5625,9.8125,3.041463851928711,155000
2000-03-09,9.75,9.875,9.625,9.875,3.0608341693878174,129400
2000-03-10,9.8125,9.875,9.75,9.8125,3.041463851928711,181700
2000-03-13,9.75,9.875,9.625,9.625,2.9833476543426514,189700
2000-03-14,9.625,9.6875,9.5625,9.5625,2.963972568511963,178200
2000-03-15,9.5625,9.9375,9.5,9.875,3.0608341693878174,362300
2000-03-16,9.875,9.9375,9.75,9.8125,3.041463851928711,259900
2000-03-17,9.75,10.0,9.75,9.9375,3.0802083015441895,244800
2000-03-20,9.9375,9.9375,9.75,9.75,3.0220913887023926,132000
2000-03-21,9.8125,9.875,9.75,9.875,3.0608341693878174,100800
2000-03-22,9.8125,9.875,9.75,9.875,3.0608341693878174,106900
2000-03-23,9.75,9.875,9.75,9.8125,3.041463851928711,225100
2000-03-24,9.8125,9.9375,9.75,9.75,3.0220913887023926,213400
2000-03-27,9.75,10.0,9.75,9.875,3.0608341693878174,230500
2000-03-28,9.875,9.9375,9.8125,9.8125,3.041463851928711,172300
2000-03-29,9.9375,9.9375,9.8125,9.8125,3.041463851928711,223100
2000-03-30,9.875,10.0625,9.8125,9.9375,3.0802083015441895,197600
2000-03-31,10.0,10.0625,9.9375,10.0625,3.1189517974853516,148500
2000-04-03,10.0625,10.125,9.9375,9.9375,3.0802083015441895,176100
2000-04-04,10.0625,10.0625,9.875,10.0,3.0995798110961914,233400
2000-04-05,10.0,10.1875,9.9375,10.125,3.1383252143859863,234400
2000-04-06,10.125,10.1875,10.0,10.1875,3.1576976776123047,233100
2000-04-07,10.1875,10.1875,10.0,10.0,3.0995798110961914,403300
2000-04-10,10.125,10.25,10.0625,10.0625,3.1189517974853516,377400
2000-04-11,10.125,10.25,10.0625,10.1875,3.1576976776123047,276500
2000-04-12,10.0,10.0625,9.9375,10.0,3.1833226680755615,425600
2000-04-13,10.0,10.0625,9.9375,10.0,3.1833226680755615,204600
2000-04-14,9.9375,10.0,9.8125,9.9375,3.163428544998169,6002600
2000-04-17,9.875,9.9375,9.75,9.875,3.1435306072235107,250700
2000-04-18,9.8125,9.9375,9.8125,9.875,3.1435306072235107,173000
2000-04-19,9.8125,9.875,9.75,9.875,3.1435306072235107,197500
2000-04-20,9.875,9.9375,9.8125,9.875,3.1435306072235107,194600
2000-04-24,9.875,10.0625,9.875,9.9375,3.163428544998169,262200
2000-04-25,10.0625,10.25,9.9375,10.125,3.2231152057647705,284600
2000-04-26,10.0,10.125,10.0,10.0625,3.2032179832458496,133500
2000-04-27,10.125,10.125,10.0,10.125,3.2231152057647705,89200
2000-04-28,10.0,10.0625,9.875,10.0,3.1833226680755615,300200
2000-05-01,10.0625,10.1875,9.9375,10.1875,3.243010997772217,322300
2000-05-02,10.0625,10.375,10.0625,10.375,3.302696704864502,294300
2000-05-03,10.4375,10.75,10.3125,10.5625,3.362384080886841,356400
2000-05-04,10.5,10.6875,10.5,10.5,3.342489242553711,217100
2000-05-05,10.625,10.9375,10.5625,10.9375,3.4817607402801514,236000
2000-05-08,10.8125,11.0625,10.75,10.75,3.4220714569091797,277800
2000-05-09,10.75,10.875,10.625,10.625,3.382279872894287,170000
2000-05-10,10.75,10.75,10.5,10.5,3.342489242553711,151900
2000-05-11,10.375,10.6875,10.375,10.625,3.382279872894287,233600
2000-05-12,10.5,10.5625,10.375,10.5,3.342489242553711,166400
2000-05-15,10.5,10.5,10.375,10.4375,3.322594165802002,133800
