Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.78125,8.78125,8.34375,8.59375,7.9706950187683105,181400
2000-01-04,8.5,8.5,8.3125,8.46875,7.854747772216797,193400
2000-01-05,8.375,8.4375,8.25,8.4375,7.8257670402526855,304800
2000-01-06,8.40625,8.40625,7.9375,8.09375,7.506938934326172,199000
2000-01-07,8.09375,8.09375,7.75,7.78125,7.217095851898193,231400
2000-01-10,7.9375,8.0,7.625,7.875,7.304046630859375,337000
2000-01-11,7.8125,7.8125,7.53125,7.65625,7.101158618927002,318000
2000-01-12,7.65625,7.65625,7.1875,7.25,6.724363327026367,219600
2000-01-13,7.3125,7.34375,7.25,7.3125,6.782329082489014,95600
2000-01-14,7.4375,7.4375,6.75,6.90625,6.4055328369140625,755000
2000-01-18,6.84375,6.875,6.6875,6.875,6.376552581787109,431800
2000-01-19,6.875,7.09375,6.875,7.0,6.492487907409668,261800
2000-01-20,7.03125,7.28125,6.9375,7.0,6.492487907409668,525800
2000-01-21,6.90625,7.0,6.875,6.90625,6.4055328369140625,767600
2000-01-24,6.9375,7.0,6.75,6.78125,6.289596080780029,258200
2000-01-25,6.6875,6.6875,6.0625,6.21875,5.76787805557251,654000
2000-01-26,6.1875,6.1875,5.78125,5.875,5.449051856994629,521200
2000-01-27,5.875,5.96875,5.78125,5.78125,5.362095355987549,272400
2000-01-28,5.78125,5.8125,5.625,5.65625,5.246160984039307,98400
2000-01-31,5.59375,5.6875,5.53125,5.5625,5.15920877456665,303400
2000-02-01,5.625,5.65625,5.4375,5.5625,5.15920877456665,290200
2000-02-02,5.65625,5.78125,5.625,5.71875,5.304132461547852,182600
2000-02-03,5.71875,5.8125,5.71875,5.75,5.333114147186279,196200
2000-02-04,5.78125,5.84375,5.75,5.78125,5.362095355987549,411400
2000-02-07,5.8125,6.0625,5.75,5.875,5.449051856994629,123000
2000-02-08,6.03125,6.03125,5.78125,5.8125,5.391084671020508,170800
2000-02-09,5.875,6.09375,5.75,5.9375,5.507021427154541,276200
2000-02-10,6.0,6.375,5.9375,6.3125,5.854831218719482,130400
2000-02-11,6.25,6.53125,6.09375,6.4375,5.975501537322998,138400
2000-02-14,6.4375,6.4375,6.0625,6.21875,5.772449970245361,194000
2000-02-15,6.0,6.03125,5.78125,5.78125,5.366348743438721,231400
2000-02-16,5.84375,5.875,5.5625,5.6875,5.279329299926758,376800
2000-02-17,5.75,6.0625,5.65625,5.75,5.337341785430908,296800
2000-02-18,5.75,5.78125,5.625,5.625,5.221312999725342,368000
2000-02-22,5.59375,5.625,5.5625,5.59375,5.192305088043213,129600
2000-02-23,5.65625,5.6875,5.40625,5.46875,5.076277256011963,168200
2000-02-24,5.4375,5.46875,5.25,5.25,4.873226642608643,247800
2000-02-25,5.21875,5.21875,4.5,4.75,4.409109115600586,1106800
2000-02-28,4.75,4.84375,4.59375,4.65625,4.322086334228516,655200
2000-02-29,4.71875,4.75,4.65625,4.75,4.409109115600586,607200
2000-03-01,4.8125,4.96875,4.8125,4.875,4.525138854980469,406200
2000-03-02,4.9375,4.9375,4.8125,4.875,4.525138854980469,307800
2000-03-03,4.84375,4.875,4.78125,4.8125,4.4671244621276855,229800
2000-03-06,4.75,4.75,4.375,4.40625,4.090031147003174,565000
2000-03-07,4.40625,4.4375,4.21875,4.4375,4.119036674499512,883400
2000-03-08,4.375,4.53125,4.34375,4.4375,4.119036674499512,538000
2000-03-09,4.4375,4.625,4.4375,4.625,4.293079376220703,1103200
2000-03-10,4.5,4.625,4.5,4.5625,4.23506498336792,397800
2000-03-13,4.5,4.8125,4.5,4.65625,4.322086334228516,237000
2000-03-14,4.84375,5.25,4.78125,4.96875,4.612161159515381,501000
2000-03-15,5.1875,5.53125,5.15625,5.46875,5.076277256011963,450400
2000-03-16,5.46875,5.75,5.34375,5.75,5.337341785430908,196600
2000-03-17,5.625,5.75,5.46875,5.5,5.105282783508301,112800
2000-03-20,5.5,5.5,5.28125,5.34375,4.960246562957764,97800
2000-03-21,5.40625,5.40625,5.125,5.25,4.873226642608643,162200
2000-03-22,5.15625,6.0,5.03125,5.25,4.873226642608643,682600
2000-03-23,5.25,5.3125,5.09375,5.09375,4.72819185256958,500000
2000-03-24,5.125,5.3125,5.09375,5.15625,4.786203384399414,367200
2000-03-27,5.15625,5.25,5.125,5.1875,4.815213203430176,110000
2000-03-28,5.1875,5.25,5.125,5.125,4.757196426391602,144000
2000-03-29,5.125,5.28125,5.125,5.15625,4.786203384399414,92800
