Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,59.03125,59.125,53.4375,55.5,37.95574188232422,1199600
2000-01-04,54.625,55.0,52.5,52.8125,36.11777877807617,816100
2000-01-05,52.75,53.25,51.0625,52.75,36.07503890991211,1124700
2000-01-06,52.75,54.9375,52.375,53.5,36.58795928955078,1112100
2000-01-07,53.75,54.25,53.3125,53.625,36.673439025878906,782000
2000-01-10,53.6875,53.75,51.5,52.65625,36.01091384887695,408800
2000-01-11,52.6875,53.0,49.875,49.875,34.108863830566406,987800
2000-01-12,50.5,50.75,49.0,50.3125,34.40806579589844,794300
2000-01-13,51.0625,55.5,51.0,54.6875,37.40007400512695,458700
2000-01-14,56.0,56.75,54.9375,55.625,38.04121398925781,596500
2000-01-18,55.625,56.125,52.75,52.8125,36.11777877807617,476800
2000-01-19,52.75,54.625,52.625,53.375,36.502471923828125,310400
2000-01-20,54.125,54.125,51.9375,52.4375,35.861324310302734,368200
2000-01-21,53.125,53.3125,50.28125,52.875,36.160518646240234,448900
2000-01-24,53.5,54.25,51.375,52.0,35.5621337890625,573000
2000-01-25,51.8125,53.875,51.375,53.6875,36.7161865234375,497200
2000-01-26,54.0,54.21875,52.5625,53.5625,36.630714416503906,541500
2000-01-27,53.75,58.625,53.625,57.75,39.70948028564453,967300
2000-01-28,57.25,57.25,54.875,56.125,38.59210205078125,801400
2000-01-31,56.1875,59.3125,56.125,59.125,40.654937744140625,440500
2000-02-01,58.875,60.0,58.5625,59.75,41.0847053527832,730800
2000-02-02,59.5,59.5625,58.5625,58.625,40.31114959716797,655400
2000-02-03,58.5625,59.5,57.125,57.9375,39.83841323852539,297300
2000-02-04,57.875,58.125,55.0,55.3125,38.03342056274414,240400
2000-02-07,55.375,55.75,53.875,55.25,37.99045944213867,384300
2000-02-08,55.0625,58.4375,55.0,58.0625,39.92433166503906,366000
2000-02-09,58.5625,58.6875,54.0,55.125,37.90449905395508,935800
2000-02-10,55.4375,56.5,54.75,54.9375,37.77557373046875,362500
2000-02-11,55.4375,56.0,54.5,54.6875,37.60366439819336,448800
